VarIdentificadorInstitucionEducativa,VarNombreInstitucionEducativa,VarCorreoInstitucionEducativa,NbrTelefonoInstitucionEducativa,VarDescripcionInstitucionEducativa,VarEstadoInstitucionEducativa,VarTipoInstitucionEducativa
4a0f2420-74f4-11ed-be5f-0242ac1c000c,Universidad Fabián Cazorla,fabián.cazorla@hotmail.com,979873533,Tempore voluptas aliquam unde qui. Est excepturi nam nihil.,Activo,Rural
4a0f2628-74f4-11ed-be5f-0242ac1c000c,Universidad Darío Arnaiz,darío.arnaiz@hotmail.com,949260424,Dolorem facilis quam illo impedit. Ratione consequuntur officia eligendi aperiam.,Activo,Urbano
4a0f26c8-74f4-11ed-be5f-0242ac1c000c,Instituto Nacho Sarabia,nacho.sarabia@hotmail.com,977714563,Aperiam tempora similique odit quidem animi incidunt ut. Sequi ad fuga aliquam ab laboriosam suscipit.,Activo,Urbano
4a0f2740-74f4-11ed-be5f-0242ac1c000c,Instituto Evangelina Colomer,evangelina.colomer@hotmail.com,931392018,Officiis temporibus et veniam ipsa molestias. Provident soluta nobis optio. Dicta ducimus nobis delectus nemo inventore ex quia.,Inactivo,Rural
4a0f27ae-74f4-11ed-be5f-0242ac1c000c,Universidad Paz Alba,paz.alba@hotmail.com,966414977,Quae rerum neque itaque quia. Facilis delectus voluptatum architecto facere. Sapiente culpa sed impedit. Voluptatem rem maiores possimus.,Inactivo,Urbano
4a0f2830-74f4-11ed-be5f-0242ac1c000c,Universidad María Navas,maría.navas@hotmail.com,983752140,Voluptate dignissimos quisquam est.,Activo,Rural
4a0f28d0-74f4-11ed-be5f-0242ac1c000c,Universidad Jacinto Riera,jacinto.riera@hotmail.com,975530442,Quam velit maiores ratione voluptas velit. Cumque tenetur nesciunt blanditiis totam. Sint exercitationem voluptatum optio ex consequuntur quibusdam qui. Eos consequuntur eligendi quos occaecati ea ut.,Activo,Urbano
4a0f295c-74f4-11ed-be5f-0242ac1c000c,Universidad Candelario Amaya,candelario.amaya@hotmail.com,970017474,Nulla vel aliquam molestiae. Iste eveniet numquam numquam nisi.,Activo,Rural
4a0f29f2-74f4-11ed-be5f-0242ac1c000c,Universidad Concha Piñol,concha.piñol@hotmail.com,972326543,Nobis exercitationem quo mollitia explicabo ratione. Asperiores quaerat iste ipsa quis praesentium. Necessitatibus doloribus eius fugiat quam consequuntur.,Activo,Urbano
4a0f2a7e-74f4-11ed-be5f-0242ac1c000c,Instituto Samuel Montaña,samuel.montaña@hotmail.com,980448045,Temporibus vero officia quo odio dolore. Vero suscipit dicta impedit aliquid. Optio velit impedit impedit maiores illum inventore accusamus.,Activo,Urbano
4a0f2b0a-74f4-11ed-be5f-0242ac1c000c,Instituto Chita Andreu,chita.andreu@hotmail.com,916634414,Porro quo molestias nam. Reprehenderit impedit voluptate nam.,Inactivo,Urbano
4a0f2d3a-74f4-11ed-be5f-0242ac1c000c,Universidad José Luis Escolano,josé luis.escolano@hotmail.com,911379270,Asperiores vero ullam. Voluptates laboriosam incidunt totam labore.,Activo,Urbano
4a0f2e20-74f4-11ed-be5f-0242ac1c000c,Instituto Modesto Miguel,modesto.miguel@hotmail.com,952398553,Ipsam quae explicabo eius. Nesciunt officiis qui voluptatibus dolor voluptatem. Aspernatur a deleniti debitis quas rem.,Activo,Urbano
4a0f2eca-74f4-11ed-be5f-0242ac1c000c,Universidad Paco Cabañas,paco.cabañas@hotmail.com,962917188,Minus laborum ad quod fugiat. Magni consequuntur autem amet similique. Nisi quam quasi.,Inactivo,Urbano
4a0f2f56-74f4-11ed-be5f-0242ac1c000c,Instituto Hortensia Ferrera,hortensia.ferrera@hotmail.com,939039714,Alias magnam est fuga aut. Saepe a quibusdam repellat voluptate. Placeat saepe numquam non dolorum praesentium itaque. Sit excepturi dignissimos ex quam vitae.,Inactivo,Rural
4a0f3000-74f4-11ed-be5f-0242ac1c000c,Universidad Jessica Aragón,jessica.aragón@hotmail.com,927340664,Est ipsum delectus autem natus. Fugiat veritatis tenetur dolorum officiis.,Inactivo,Urbano
4a0f3096-74f4-11ed-be5f-0242ac1c000c,Instituto Leocadio Vera,leocadio.vera@hotmail.com,900296361,Maiores a nihil cupiditate nemo ipsum. Blanditiis eum neque eaque modi vitae.,Activo,Urbano
4a0f310e-74f4-11ed-be5f-0242ac1c000c,Instituto Violeta Pedro,violeta.pedro@hotmail.com,902518802,Fuga facilis pariatur consectetur fugit nemo optio. Dolores temporibus expedita quasi quas est aperiam rerum. Facere sint officia nulla optio suscipit consectetur unde.,Activo,Urbano
4a0f3186-74f4-11ed-be5f-0242ac1c000c,Universidad Isaura Sandoval,isaura.sandoval@hotmail.com,937157096,Nobis mollitia reiciendis reiciendis odit distinctio minus mollitia. Veniam autem fugiat in.,Inactivo,Urbano
4a0f31fe-74f4-11ed-be5f-0242ac1c000c,Instituto Ainara Cabezas,ainara.cabezas@hotmail.com,948299651,Maiores maxime consectetur recusandae. Distinctio distinctio dolorum quaerat.,Activo,Urbano
4a0f3276-74f4-11ed-be5f-0242ac1c000c,Instituto Mónica Arévalo,mónica.arévalo@hotmail.com,978914636,Voluptatum quidem voluptas accusamus dolor adipisci voluptatum suscipit. Quos suscipit atque doloribus vitae incidunt. Molestias cum molestias libero inventore impedit.,Inactivo,Rural
4a0f32ee-74f4-11ed-be5f-0242ac1c000c,Instituto Herminia Villaverde,herminia.villaverde@hotmail.com,988241055,Nostrum est ex facere. Error quisquam accusamus optio provident.,Inactivo,Rural
4a0f335c-74f4-11ed-be5f-0242ac1c000c,Instituto Eugenio Grau,eugenio.grau@hotmail.com,927664229,Accusamus error cumque laboriosam quia neque.,Activo,Urbano
4a0f33d4-74f4-11ed-be5f-0242ac1c000c,Universidad Trinidad Luís,trinidad.luís@hotmail.com,999053568,Natus culpa quaerat repellendus. Ipsa placeat minus. Provident cupiditate perspiciatis laborum unde. Asperiores inventore vero dicta.,Inactivo,Urbano
4a0f3442-74f4-11ed-be5f-0242ac1c000c,Instituto Humberto Quintana,humberto.quintana@hotmail.com,944441303,Consequuntur dolorum at blanditiis. Laboriosam eveniet illum animi eaque dolores praesentium. Quo veniam occaecati voluptatibus quo culpa aperiam.,Activo,Rural
4a0f34b0-74f4-11ed-be5f-0242ac1c000c,Instituto Aroa Nuñez,aroa.nuñez@hotmail.com,905154539,Laboriosam autem odio quidem dignissimos atque eos. Commodi dicta laborum blanditiis reiciendis.,Inactivo,Urbano
4a0f351e-74f4-11ed-be5f-0242ac1c000c,Universidad Montserrat Alsina,montserrat.alsina@hotmail.com,915960471,Fugit animi perferendis aut. Ex sint rerum deleniti. Aspernatur aliquid enim soluta nobis consequuntur enim.,Inactivo,Urbano
4a0f35a0-74f4-11ed-be5f-0242ac1c000c,Instituto Amaro Verdú,amaro.verdú@hotmail.com,913493161,Delectus adipisci incidunt beatae sequi atque. Rem at dolorum assumenda tempora consequatur. Dolor sequi ipsa voluptatum.,Inactivo,Urbano
4a0f3636-74f4-11ed-be5f-0242ac1c000c,Instituto Clara Saavedra,clara.saavedra@hotmail.com,984001876,Esse doloremque soluta quas molestias. In provident praesentium libero aspernatur nemo. Quod quam aliquam recusandae. Reprehenderit porro consectetur a.,Inactivo,Rural
4a0f36cc-74f4-11ed-be5f-0242ac1c000c,Instituto Cosme Zaragoza,cosme.zaragoza@hotmail.com,991181421,Fugit illum quos quidem quaerat ipsa. Perferendis officiis enim natus laborum delectus.,Inactivo,Urbano
4a0f3a64-74f4-11ed-be5f-0242ac1c000c,Instituto Delia Cantón,delia.cantón@hotmail.com,959927929,Ex odit praesentium aliquid provident. Cumque nam voluptatem aliquid saepe ea.,Activo,Rural
4a0f3bf4-74f4-11ed-be5f-0242ac1c000c,Instituto Nereida Pons,nereida.pons@hotmail.com,972971432,Nihil minima dicta ullam ut earum veritatis. Saepe in eaque aspernatur.,Inactivo,Rural
4a0f3cc6-74f4-11ed-be5f-0242ac1c000c,Universidad Rosalinda Ibañez,rosalinda.ibañez@hotmail.com,927464561,Odit fugit consequatur. Esse quisquam tenetur repellat voluptatem natus adipisci alias. Architecto adipisci dolorum.,Inactivo,Urbano
4a0f3d66-74f4-11ed-be5f-0242ac1c000c,Instituto Rogelio Barrio,rogelio.barrio@hotmail.com,911838630,Alias tenetur consequuntur deserunt. Accusantium velit dolorem nisi modi repellat aperiam ea.,Activo,Rural
4a0f3dfc-74f4-11ed-be5f-0242ac1c000c,Universidad Felisa Ferrero,felisa.ferrero@hotmail.com,936230655,Repellat excepturi perspiciatis delectus vitae voluptates amet. Laudantium pariatur dolor temporibus vitae accusamus sint.,Inactivo,Rural
4a0f3e88-74f4-11ed-be5f-0242ac1c000c,Instituto Chelo Sierra,chelo.sierra@hotmail.com,911421704,Aut saepe esse. Doloribus asperiores nisi minima aliquid sunt laboriosam. Omnis possimus ipsum.,Activo,Rural
4a0f3f1e-74f4-11ed-be5f-0242ac1c000c,Universidad Adelina Lasa,adelina.lasa@hotmail.com,946289898,Officiis voluptatem fugiat repellat officiis illum tempora. Nemo suscipit veniam error vitae iusto id. Nisi nihil alias libero.,Activo,Rural
4a0f3faa-74f4-11ed-be5f-0242ac1c000c,Instituto Jose Francisco Armas,jose francisco.armas@hotmail.com,913087810,Nisi voluptatem assumenda illo aut maxime. Blanditiis facere aperiam consequatur cumque excepturi. Ab ullam expedita rem necessitatibus vero numquam deserunt. Corrupti omnis nemo.,Activo,Rural
4a0f4036-74f4-11ed-be5f-0242ac1c000c,Instituto Rómulo Sandoval,rómulo.sandoval@hotmail.com,992678081,Culpa maxime minima voluptatum voluptatibus vitae est. Nisi exercitationem assumenda sequi dolor.,Activo,Rural
4a0f40b8-74f4-11ed-be5f-0242ac1c000c,Universidad Sebastian Ródenas,sebastian.ródenas@hotmail.com,922808622,Est repellat enim delectus iste. Suscipit quibusdam expedita officia repudiandae mollitia vero aperiam. Magnam ex a eum.,Inactivo,Urbano
4a0f413a-74f4-11ed-be5f-0242ac1c000c,Universidad Andrés Alcalá,andrés.alcalá@hotmail.com,919274479,Nulla voluptas pariatur reiciendis perferendis dolorum corporis. Ipsam quidem aut mollitia illo magni neque.,Activo,Urbano
4a0f41c6-74f4-11ed-be5f-0242ac1c000c,Universidad Ezequiel Cadenas,ezequiel.cadenas@hotmail.com,917461522,Quam atque consectetur laborum fuga. Debitis cum ab eos animi veniam.,Inactivo,Urbano
4a0f4252-74f4-11ed-be5f-0242ac1c000c,Universidad Amelia Acosta,amelia.acosta@hotmail.com,946333530,Quasi amet numquam tempore distinctio. Aperiam fuga tenetur deleniti quibusdam. Hic sint exercitationem error adipisci accusantium aspernatur. Harum eaque soluta delectus adipisci ab incidunt.,Activo,Urbano
4a0f42de-74f4-11ed-be5f-0242ac1c000c,Universidad Mirta Piña,mirta.piña@hotmail.com,965360696,Architecto earum deserunt occaecati. Tempora sequi tempora asperiores rerum. Tempora quisquam incidunt adipisci quae maxime.,Activo,Rural
4a0f434c-74f4-11ed-be5f-0242ac1c000c,Universidad Benigna Uribe,benigna.uribe@hotmail.com,982843829,Ex impedit sequi quam inventore repellendus.,Activo,Urbano
4a0f43c4-74f4-11ed-be5f-0242ac1c000c,Instituto Dionisia Naranjo,dionisia.naranjo@hotmail.com,914801708,Repellat porro voluptates impedit voluptas. Occaecati ex accusamus cupiditate similique quaerat officia. Optio autem in incidunt hic sequi. Repudiandae rerum quia voluptas reiciendis natus harum.,Inactivo,Urbano
4a0f4432-74f4-11ed-be5f-0242ac1c000c,Instituto Jose Carlos Cárdenas,jose carlos.cárdenas@hotmail.com,988326801,Nulla quae quidem quos. Blanditiis laborum nisi totam qui blanditiis.,Activo,Urbano
4a0f44aa-74f4-11ed-be5f-0242ac1c000c,Universidad Milagros Lamas,milagros.lamas@hotmail.com,912578754,Autem enim nobis voluptas. Ea id sunt vel dolores vero. Quaerat delectus temporibus molestias at quam deleniti.,Inactivo,Rural
4a0f4518-74f4-11ed-be5f-0242ac1c000c,Universidad Severiano Guardia,severiano.guardia@hotmail.com,974047452,Harum dolor debitis accusamus sequi. Voluptates adipisci suscipit quasi.,Activo,Rural
4a0f4586-74f4-11ed-be5f-0242ac1c000c,Instituto Socorro Iniesta,socorro.iniesta@hotmail.com,996416869,Atque ipsum modi maiores hic quia voluptate. Error ullam minima impedit.,Activo,Urbano
4a0f45fe-74f4-11ed-be5f-0242ac1c000c,Instituto Atilio Ramos,atilio.ramos@hotmail.com,964083670,Saepe laboriosam aliquid tempora commodi aliquam. Nulla placeat beatae quia itaque quidem. Dolor iure est.,Inactivo,Rural
4a0f4662-74f4-11ed-be5f-0242ac1c000c,Universidad Amada Téllez,amada.téllez@hotmail.com,910504389,Numquam officia cumque quisquam. Iure inventore excepturi quo corporis magnam.,Inactivo,Urbano
4a0f46d0-74f4-11ed-be5f-0242ac1c000c,Universidad Julio César Palomar,julio césar.palomar@hotmail.com,938916729,Ducimus mollitia minus illum modi labore dolor. Saepe dolorem architecto reiciendis aspernatur modi. Error quasi corrupti voluptas ab perspiciatis.,Inactivo,Rural
4a0f473e-74f4-11ed-be5f-0242ac1c000c,Instituto Celso Quesada,celso.quesada@hotmail.com,992519071,Culpa consequuntur dolore odio maiores. Eius fugit cumque cumque aperiam. Repellat pariatur laudantium assumenda est totam.,Inactivo,Urbano
4a0f47a2-74f4-11ed-be5f-0242ac1c000c,Instituto Jordi Suárez,jordi.suárez@hotmail.com,923564948,Perferendis dicta facilis voluptas quos. Cum doloremque ea dolores mollitia sequi facere dignissimos.,Inactivo,Rural
4a0f482e-74f4-11ed-be5f-0242ac1c000c,Instituto Ricardo Camacho,ricardo.camacho@hotmail.com,968631118,Facilis cumque officia sequi voluptate ad. Cupiditate illo blanditiis quisquam itaque. Aliquid aliquam expedita ad eum placeat.,Activo,Urbano
4a0f48ba-74f4-11ed-be5f-0242ac1c000c,Universidad Albano Moreno,albano.moreno@hotmail.com,996241031,Neque quisquam est.,Activo,Rural
4a0f4946-74f4-11ed-be5f-0242ac1c000c,Universidad Luis Ángel Herranz,luis ángel.herranz@hotmail.com,935189682,Quibusdam in veritatis necessitatibus sit. Ut dignissimos odio voluptate ipsum quisquam in. Iste optio nam suscipit molestias ullam sint nemo.,Inactivo,Urbano
4a0f49c8-74f4-11ed-be5f-0242ac1c000c,Instituto Bárbara Cervantes,bárbara.cervantes@hotmail.com,998712622,Maiores minima consectetur culpa nulla eum ut. Repellendus facilis ipsum voluptatum molestias. Repudiandae numquam doloremque.,Activo,Rural
4a0f4a54-74f4-11ed-be5f-0242ac1c000c,Instituto Alba Castañeda,alba.castañeda@hotmail.com,906599291,Quas quo quas laborum.,Inactivo,Urbano
4a0f4ae0-74f4-11ed-be5f-0242ac1c000c,Universidad Jacinto Manzano,jacinto.manzano@hotmail.com,915158399,Beatae velit ipsum. Officiis asperiores alias molestiae error illo. Unde quas ipsam sit. Vel praesentium corporis atque cumque cupiditate voluptatum.,Inactivo,Rural
4a0f4c0c-74f4-11ed-be5f-0242ac1c000c,Universidad Patricio Palomino,patricio.palomino@hotmail.com,994961867,Rem vero libero rem. Modi molestias ipsam ad debitis nulla modi ipsum.,Inactivo,Urbano
4a0f4ca2-74f4-11ed-be5f-0242ac1c000c,Instituto Lino Ballester,lino.ballester@hotmail.com,984920851,Repellendus consequatur ipsum quos qui. Soluta laudantium fugiat totam ipsa. Esse eveniet debitis.,Activo,Urbano
4a0f4d10-74f4-11ed-be5f-0242ac1c000c,Instituto Ismael Calzada,ismael.calzada@hotmail.com,985371158,Itaque nihil cum totam occaecati magnam error. Mollitia quisquam reiciendis aspernatur.,Inactivo,Urbano
4a0f4d92-74f4-11ed-be5f-0242ac1c000c,Instituto Isidoro Bernal,isidoro.bernal@hotmail.com,908337449,Ad ea maiores hic laboriosam. Incidunt fuga iusto minus. Quae qui veritatis.,Inactivo,Rural
4a0f4e00-74f4-11ed-be5f-0242ac1c000c,Instituto Diana Fabra,diana.fabra@hotmail.com,980979169,Harum amet est. Inventore quidem accusantium aliquid occaecati in cupiditate corrupti. Laborum repellat magni nisi.,Inactivo,Urbano
4a0f4e8c-74f4-11ed-be5f-0242ac1c000c,Instituto Irene Palacios,irene.palacios@hotmail.com,906926521,Quisquam magni vero tenetur similique harum. Sequi totam at iusto sit eveniet culpa magnam.,Inactivo,Rural
4a0f4f22-74f4-11ed-be5f-0242ac1c000c,Universidad Daniela Casares,daniela.casares@hotmail.com,945703229,Quae tempora voluptatem nihil amet soluta itaque nihil. Occaecati consequuntur repellat sequi consequuntur neque animi libero.,Activo,Rural
4a0f4fae-74f4-11ed-be5f-0242ac1c000c,Universidad Jacobo Cortes,jacobo.cortes@hotmail.com,922723196,Incidunt distinctio ut ipsam. Aliquam cupiditate non beatae tempora. Recusandae quibusdam quibusdam quis aut deserunt.,Activo,Rural
4a0f503a-74f4-11ed-be5f-0242ac1c000c,Universidad León Crespi,león.crespi@hotmail.com,900767919,Beatae possimus fugit inventore consequuntur. Dicta nobis nulla unde incidunt. Consectetur consequatur repellat molestias fugit dignissimos.,Activo,Urbano
4a0f50c6-74f4-11ed-be5f-0242ac1c000c,Universidad Miguela Benitez,miguela.benitez@hotmail.com,908507242,Consectetur quos tempora.,Activo,Urbano
4a0f5152-74f4-11ed-be5f-0242ac1c000c,Universidad Valeria Sastre,valeria.sastre@hotmail.com,949249794,Nam officiis voluptas perspiciatis eaque. Eum quaerat omnis voluptatem officiis minus quisquam.,Activo,Urbano
4a0f51e8-74f4-11ed-be5f-0242ac1c000c,Universidad Moreno Camacho,moreno.camacho@hotmail.com,945145917,Facere voluptates ipsam iure. Soluta voluptates temporibus rem illo alias.,Activo,Rural
4a0f5274-74f4-11ed-be5f-0242ac1c000c,Instituto Juliana Iñiguez,juliana.iñiguez@hotmail.com,957626289,Voluptate sequi ullam laudantium magnam. Dolorum minima quidem. Unde dolor molestias commodi necessitatibus.,Activo,Rural
4a0f530a-74f4-11ed-be5f-0242ac1c000c,Universidad Jesús Armengol,jesús.armengol@hotmail.com,955846858,Laudantium corrupti natus. Et voluptas asperiores quod itaque natus perferendis recusandae.,Inactivo,Rural
4a0f5396-74f4-11ed-be5f-0242ac1c000c,Instituto Rubén Cepeda,rubén.cepeda@hotmail.com,965066819,Laudantium quaerat atque repudiandae suscipit alias. Labore adipisci repellat quaerat commodi animi.,Activo,Urbano
4a0f5422-74f4-11ed-be5f-0242ac1c000c,Universidad Narciso Ruiz,narciso.ruiz@hotmail.com,913845375,Porro fuga dicta. Vel dolore vero nesciunt omnis.,Activo,Rural
4a0f54b8-74f4-11ed-be5f-0242ac1c000c,Instituto Marcial Tomé,marcial.tomé@hotmail.com,932262528,Iure laboriosam harum ratione voluptatibus voluptatibus ratione asperiores. Aliquam reiciendis voluptate minima eum atque consequatur.,Inactivo,Rural
4a0f553a-74f4-11ed-be5f-0242ac1c000c,Instituto Faustino Acuña,faustino.acuña@hotmail.com,969559905,Voluptate aut laborum dicta quibusdam. Pariatur eum nisi quod iure voluptatum iure.,Activo,Rural
4a0f56fc-74f4-11ed-be5f-0242ac1c000c,Universidad Fidel Malo,fidel.malo@hotmail.com,902363687,Libero blanditiis optio officiis. Incidunt asperiores eligendi impedit.,Activo,Rural
4a0f57e2-74f4-11ed-be5f-0242ac1c000c,Instituto Raquel Cáceres,raquel.cáceres@hotmail.com,964780292,Nostrum doloremque delectus quo dignissimos excepturi. Quod perferendis ea quibusdam illo quis. Vel facere vel nisi vel blanditiis.,Inactivo,Urbano
4a0f5882-74f4-11ed-be5f-0242ac1c000c,Instituto Artemio Prieto,artemio.prieto@hotmail.com,910344089,Ducimus dolorum ducimus cum deserunt. Ipsam consectetur molestiae facilis quas quibusdam.,Inactivo,Urbano
4a0f590e-74f4-11ed-be5f-0242ac1c000c,Instituto Carmelita Cabrero,carmelita.cabrero@hotmail.com,975279844,Adipisci doloribus similique provident sed. Rerum esse maxime earum. Vel ratione facere repellat illum.,Inactivo,Rural
4a0f5990-74f4-11ed-be5f-0242ac1c000c,Instituto Jessica Sala,jessica.sala@hotmail.com,950722855,Iusto esse neque mollitia. Quidem reprehenderit saepe a qui libero modi. Ut id omnis dolor reiciendis.,Activo,Rural
4a0f59fe-74f4-11ed-be5f-0242ac1c000c,Instituto Beatriz Roca,beatriz.roca@hotmail.com,968697615,Perspiciatis unde distinctio officiis error doloribus. Facilis ipsum illo adipisci magni velit.,Inactivo,Urbano
4a0f5a76-74f4-11ed-be5f-0242ac1c000c,Instituto Encarnacion Diaz,encarnacion.diaz@hotmail.com,982131073,Consequatur nobis odio aperiam voluptatem sint. Tempore id consequatur porro quisquam laboriosam.,Inactivo,Rural
