VarIdentificadorParametros,VarAccionAfirSocioecoParametros,VarAccionAfirTerriParametros,VarAccionAfirRuralParametros,VarAccionAfirVulneraParametros,VarAccionAfirPueblosNacionParametros,VarCuposOfertaCarParametros,DtCuposOfertaCarParametros,VarNotaReferCarParametros
0aaa895c-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,5,Verdadero,22,28/8/2022,758
0aaa8a1a-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,1,Verdadero,33,14/7/2022,999
0aaa8be6-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,2,Falso,44,16/5/2022,943
0aaa8c9a-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,5,Falso,28,9/5/2022,974
0aaa8d44-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,5,Falso,26,10/6/2022,770
0aaa8de4-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,6,Falso,7,23/9/2022,846
0aaa8e8e-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,2,Verdadero,8,20/7/2022,762
0aaa8f2e-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,4,Verdadero,8,21/11/2022,951
0aaa8fce-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,6,Verdadero,47,19/6/2022,720
0aaa906e-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,3,Falso,31,25/10/2022,702
0aaa9104-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,1,Falso,1,24/11/2022,961
0aaa919a-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,3,Falso,27,18/11/2022,853
0aaa9230-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,3,Verdadero,0,20/11/2022,850
0aaa937a-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,3,Verdadero,2,25/10/2022,851
0aaa9438-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,1,Verdadero,49,13/11/2022,911
0aaa94ec-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,3,Verdadero,40,18/8/2022,825
0aaa9672-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,4,Verdadero,22,8/8/2022,781
0aaa9730-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,0,Verdadero,27,29/9/2022,770
0aaa97d0-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,4,Falso,40,8/11/2022,765
0aaa987a-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,4,Verdadero,6,15/9/2022,855
0aaa991a-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,6,Falso,33,4/6/2022,823
0aaa99ba-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,3,Falso,46,12/7/2022,827
0aaa9a64-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,1,Falso,31,31/10/2022,787
0aaa9b04-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,0,Falso,36,24/8/2022,989
0aaa9ba4-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,3,Falso,30,30/6/2022,950
0aaa9c44-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,2,Falso,44,13/8/2022,847
0aaa9ce4-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,2,Verdadero,8,19/8/2022,789
0aaa9d8e-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,0,Falso,1,24/10/2022,729
0aaa9e2e-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,6,Verdadero,14,17/10/2022,888
0aaa9ee2-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,1,Verdadero,37,21/10/2022,856
0aaa9f8c-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,1,Verdadero,42,10/5/2022,955
0aaaa036-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,5,Verdadero,19,31/7/2022,976
0aaaa0d6-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,2,Falso,24,3/5/2022,932
0aaaa1c6-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,3,Falso,45,21/6/2022,874
0aaaa270-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,6,Verdadero,32,24/5/2022,751
0aaaa8f6-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,5,Verdadero,35,9/8/2022,897
0aaaaefa-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,5,Verdadero,21,11/9/2022,716
0aaaafc2-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,1,Falso,29,15/5/2022,947
0aaaba12-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,3,Verdadero,46,11/7/2022,813
0aaac0a2-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,4,Falso,47,18/7/2022,927
0aaac700-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,1,Verdadero,0,26/8/2022,775
0aaac89a-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,4,Falso,10,17/5/2022,779
0aaac944-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,3,Falso,21,20/5/2022,927
0aaac9da-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,4,Verdadero,7,10/11/2022,701
0aaaca7a-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,5,Falso,2,7/11/2022,740
0aaacb10-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,1,Falso,10,10/5/2022,857
0aaacba6-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,4,Verdadero,24,30/11/2022,907
0aaacc50-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,6,Falso,27,15/9/2022,959
0aaacce6-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,3,Verdadero,0,17/8/2022,716
0aaacd7c-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,4,Falso,27,22/6/2022,947
0aaace62-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,5,Falso,27,7/11/2022,951
0aaacf02-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,3,Verdadero,48,7/7/2022,985
0aaacf98-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,4,Verdadero,29,21/5/2022,990
0aaad060-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,1,Verdadero,5,15/7/2022,865
0aaad100-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,6,Falso,35,17/8/2022,902
0aaad196-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,6,Verdadero,3,16/10/2022,936
0aaad236-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,4,Falso,17,28/10/2022,955
0aaad2d6-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,0,Verdadero,10,14/5/2022,891
0aaad36c-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,1,Falso,5,27/9/2022,842
0aaad402-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,5,Verdadero,35,25/7/2022,959
0aaad4ca-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,0,Falso,15,31/7/2022,940
0aaad560-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,5,Verdadero,5,28/7/2022,971
0aaad600-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,5,Falso,44,16/5/2022,957
0aaad696-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,2,Falso,45,17/7/2022,950
0aaad72c-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,2,Falso,37,24/5/2022,779
0aaad7c2-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,1,Falso,19,23/10/2022,845
0aaad858-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,5,Verdadero,16,10/9/2022,929
0aaadbbe-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,6,Verdadero,42,24/5/2022,774
0aaadc72-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,2,Falso,26,20/9/2022,772
0aaadd12-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,4,Verdadero,4,26/8/2022,952
0aaadda8-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,0,Verdadero,4,2/6/2022,802
0aaade3e-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,2,Verdadero,45,22/8/2022,744
0aaaded4-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,3,Falso,13,8/7/2022,974
0aaadf6a-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,2,Falso,48,31/8/2022,867
0aaae000-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,0,Falso,49,10/9/2022,727
0aaae096-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,0,Verdadero,49,16/10/2022,850
0aaae136-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,3,Verdadero,30,6/6/2022,720
0aaae1cc-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,3,Falso,20,22/10/2022,871
0aaae262-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,0,Falso,4,17/6/2022,801
0aaae2f8-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,3,Falso,25,17/8/2022,842
0aaae38e-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,3,Falso,12,4/5/2022,801
0aaae424-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,5,Falso,39,28/5/2022,700
0aaae4ba-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,3,Falso,30,29/8/2022,826
0aaae596-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,4,Verdadero,36,14/10/2022,981
0aaae640-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,0,Falso,34,16/8/2022,779
0aaae6fe-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,3,Verdadero,36,26/7/2022,881
0aaae794-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,2,Verdadero,8,11/8/2022,824
0aaae834-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,0,Falso,4,2/11/2022,707
0aaae8ca-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,5,Verdadero,45,19/10/2022,819
0aaae97e-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,5,Verdadero,39,6/11/2022,959
0aaaea28-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,4,Falso,20,29/5/2022,976
0aaaeac8-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,5,Falso,41,12/8/2022,854
0aaaeb5e-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,4,Falso,0,11/7/2022,769
0aaaebea-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,3,Falso,22,28/8/2022,963
0aaaec8a-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,4,Verdadero,15,8/7/2022,976
0aaaed20-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,0,Verdadero,1,1/7/2022,778
0aaaedb6-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,4,Falso,12,31/5/2022,721
0aaaee4c-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,6,Falso,10,13/10/2022,742
0aaaeee2-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,5,Falso,35,24/8/2022,806
0aaaef78-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,0,Verdadero,44,7/6/2022,843
0aaaf04a-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,4,Verdadero,6,26/8/2022,818
0aaaf0ea-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,2,Falso,32,5/8/2022,889
0aaaf180-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,2,Falso,6,24/9/2022,715
0aaaf216-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,3,Verdadero,34,7/7/2022,827
0aaaf2ac-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,4,Verdadero,37,1/10/2022,880
0aaaf342-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,5,Verdadero,12,9/10/2022,748
0aaaf3d8-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,4,Falso,1,17/8/2022,876
0aaaf478-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,1,Falso,0,9/8/2022,884
0aaaf50e-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,2,Falso,0,28/10/2022,816
0aaaf5a4-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,4,Verdadero,18,14/8/2022,840
0aaaf63a-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,0,Verdadero,40,2/5/2022,869
0aaaf6d0-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,3,Falso,5,20/11/2022,956
0aaaf7c0-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,2,Falso,9,28/5/2022,826
0aaaf860-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,1,Verdadero,0,7/5/2022,988
0aaaf8f6-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,6,Falso,31,4/11/2022,779
0aaaf98c-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,0,Falso,33,26/11/2022,985
0aaafa22-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,2,Falso,8,1/10/2022,727
0aaafb08-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,6,Falso,21,13/7/2022,875
0aaafbb2-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,3,Verdadero,9,16/5/2022,942
0aaafc48-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,4,Verdadero,34,1/8/2022,926
0aaafcde-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,5,Verdadero,6,16/6/2022,943
0aaafd7e-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,2,Falso,11,7/6/2022,700
0aaafe28-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,5,Falso,19,1/6/2022,938
0aaafee6-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,6,Falso,43,15/9/2022,700
0aaaff86-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,5,Verdadero,43,19/6/2022,857
0aab00da-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,5,Falso,44,22/11/2022,918
0aab0170-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,3,Falso,18,8/5/2022,778
0aab0206-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,4,Verdadero,24,4/5/2022,768
0aab02a6-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,3,Verdadero,42,30/9/2022,871
0aab033c-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,2,Falso,26,16/11/2022,819
0aab03dc-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,1,Verdadero,28,25/11/2022,700
0aab047c-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,4,Verdadero,27,23/10/2022,901
0aab0512-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,6,Verdadero,46,22/11/2022,876
0aab05a8-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,4,Verdadero,13,11/11/2022,947
0aab067a-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,0,Falso,47,15/10/2022,820
0aab071a-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,4,Verdadero,30,4/6/2022,825
0aab07b0-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,2,Verdadero,31,20/5/2022,981
0aab0846-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,3,Falso,42,23/9/2022,958
0aab08dc-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,3,Falso,4,6/10/2022,973
0aab0972-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,6,Verdadero,48,4/5/2022,924
0aab0a08-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,5,Verdadero,49,19/10/2022,898
0aab0aa8-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,0,Verdadero,22,19/7/2022,934
0aab0b66-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,2,Falso,14,14/6/2022,731
0aab0bfc-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,0,Verdadero,43,12/10/2022,981
0aab0c9c-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,3,Falso,11,15/7/2022,886
0aab0d32-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,2,Falso,50,14/10/2022,954
0aab0dc8-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,2,Falso,42,24/5/2022,958
0aab0e5e-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,1,Verdadero,47,19/11/2022,977
0aab0ef4-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,6,Verdadero,30,1/10/2022,775
0aab0f8a-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,1,Falso,1,11/7/2022,828
0aab1020-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,1,Verdadero,30,17/9/2022,701
0aab10f2-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,2,Falso,45,13/8/2022,964
0aab119c-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,2,Falso,44,8/7/2022,962
0aab1232-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,5,Falso,33,23/7/2022,788
0aab12c8-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,6,Verdadero,47,18/6/2022,842
0aab137c-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,0,Falso,30,15/5/2022,952
0aab141c-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,3,Falso,18,30/7/2022,907
0aab14b2-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,2,Falso,47,18/6/2022,701
0aab1552-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,3,Verdadero,28,1/11/2022,927
0aab15e8-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,5,Falso,46,31/10/2022,984
0aab1674-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,2,Falso,39,12/9/2022,999
0aab1728-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,5,Falso,6,12/6/2022,995
0aab17be-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,5,Falso,47,3/11/2022,851
0aab185e-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,1,Verdadero,0,5/8/2022,827
