VarIdentificadorUsuario,VarIdentificadorRol,VarIdentificadorPermisos
a69c2d8c-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69c2e4a-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69c2efe-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69c3002-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69c30a2-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69c314c-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69c3200-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69c32be-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69c3372-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69c341c-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69c34d0-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69c3598-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69c3656-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69c3714-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69c37c8-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69c387c-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69c3944-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69c3a0c-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69c3ac0-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69c3b7e-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69c3c32-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69c3cf0-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69c91d2-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69cbdb0-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69cbf22-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69cc03a-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69cc120-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69cc1e8-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69cc2a6-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69cc378-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69cc44a-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69cc508-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69cc5d0-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69cc698-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69cc76a-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69cc828-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69cc8f0-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69cc9b8-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69ccac6-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69ccb8e-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69ccc6a-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69ccd46-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69cce04-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69ccecc-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69ccf8a-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69cd052-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69cd11a-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69cd1e2-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69cd2a0-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69cd368-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69cd426-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69cd4e4-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69cd5ac-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69cd66a-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69cd732-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69cd7fa-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69cd8b8-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69cd980-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69d6cc4-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69d6fbc-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69d707a-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69d711a-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69d71ba-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69d7246-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69d72dc-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69d737c-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69d7444-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69d74da-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69d7570-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69d7606-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69d7a0c-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69d7aac-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69d7b42-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69d7bce-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69d7c64-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69d7d18-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69d7dae-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69d7e44-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69d7f48-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69d8006-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69d80ba-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69d9244-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69d93fc-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69d9492-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69d9528-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69d95be-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69d9654-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69d96ea-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69d9776-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69d980c-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69d9898-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69d992e-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69d99c4-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69d9a50-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69d9adc-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69d9b72-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69d9c08-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69dd0f6-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69dd380-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69dd47a-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69dd556-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69dd6e6-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69dd7ae-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69dd880-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69dd93e-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69dda06-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69ddac4-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69ddb82-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69ddc2c-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69dfab8-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69e2e16-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69e2f10-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69e2fba-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69e3050-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69e30e6-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69e3172-74f4-11ed-8c78-0242ac1c000c,e28f4930-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69e3208-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
a69e3294-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e80a0-74f4-11ed-ba23-0242ac1c000c
a69e3320-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e8154-74f4-11ed-ba23-0242ac1c000c
a69e33b6-74f4-11ed-8c78-0242ac1c000c,e28f49f8-74f6-11ed-a001-0242ac1c000c,e10e81ea-74f4-11ed-ba23-0242ac1c000c
a69e3442-74f4-11ed-8c78-0242ac1c000c,e28f4638-74f6-11ed-a001-0242ac1c000c,e10e7e7a-74f4-11ed-ba23-0242ac1c000c
