VarIdentificadorSedes,VarNombreSedes,VarDescripcionSedes,NbrTelefonoSedes,VarEstadoSedes,VarIdentificadorProvincia,VarIdentificadorParroquia,VarIdentificadorCanton,VarIdentificadorInstitucionEducativa
19043ef0-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - COLTA,Repellat impedit provident quae incidunt quo est a. Maiores deleniti repellat temporibus dolores aliquam dicta. Rerum corrupti exercitationem aliquam voluptas accusamus. Asperiores blanditiis sit cum.,941579525,Inactivo,5d69f718-74f7-11ed-8d69-0242ac1c000c,359d0d88-74f7-11ed-a487-0242ac1c000c,8c050d92-74f7-11ed-884d-0242ac1c000c,4a0f1afc-74f4-11ed-be5f-0242ac1c000c
19043fea-74f5-11ed-b0b8-0242ac1c000c,LIMONCOCHA,Labore minima impedit quibusdam. Voluptate facilis labore exercitationem.,957386042,Activo,5d69f7a4-74f7-11ed-8d69-0242ac1c000c,359d0e1e-74f7-11ed-a487-0242ac1c000c,8c050df6-74f7-11ed-884d-0242ac1c000c,4a0f1b74-74f4-11ed-be5f-0242ac1c000c
190440ee-74f5-11ed-b0b8-0242ac1c000c,SUCUMBIOS,Ipsa ratione minus. Unde ducimus nostrum rerum fugit libero doloremque.,949401212,Inactivo,5d69f826-74f7-11ed-8d69-0242ac1c000c,359d0eb4-74f7-11ed-a487-0242ac1c000c,8c050e5a-74f7-11ed-884d-0242ac1c000c,4a0f1bec-74f4-11ed-be5f-0242ac1c000c
190441e8-74f5-11ed-b0b8-0242ac1c000c,CAÑAR,Animi nulla explicabo.,963565110,Inactivo,5d69f8a8-74f7-11ed-8d69-0242ac1c000c,359d0f4a-74f7-11ed-a487-0242ac1c000c,8c050ebe-74f7-11ed-884d-0242ac1c000c,4a0f1c5a-74f4-11ed-be5f-0242ac1c000c
190442ec-74f5-11ed-b0b8-0242ac1c000c,SEDE - GUAYAQUIL,Porro corporis odit quibusdam mollitia doloribus.,938512572,Activo,5d69f92a-74f7-11ed-8d69-0242ac1c000c,359d0fe0-74f7-11ed-a487-0242ac1c000c,8c050f22-74f7-11ed-884d-0242ac1c000c,4a0f1cbe-74f4-11ed-be5f-0242ac1c000c
190444a4-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - LATACUNGA,Doloribus temporibus voluptatum aliquid nisi aperiam sit. Suscipit eaque quia ipsum impedit quam velit. Doloribus exercitationem itaque laborum nemo quasi consequatur.,943100215,Activo,5d69f9ac-74f7-11ed-8d69-0242ac1c000c,359d1080-74f7-11ed-a487-0242ac1c000c,8c050f86-74f7-11ed-884d-0242ac1c000c,4a0f1d4a-74f4-11ed-be5f-0242ac1c000c
190445c6-74f5-11ed-b0b8-0242ac1c000c,LOJA,Accusamus cupiditate quos non. Amet veritatis animi facilis a labore. Tempore blanditiis voluptatum repellendus excepturi porro.,927749201,Inactivo,5d69fa42-74f7-11ed-8d69-0242ac1c000c,359d1116-74f7-11ed-a487-0242ac1c000c,8c050ff4-74f7-11ed-884d-0242ac1c000c,4a0f1de0-74f4-11ed-be5f-0242ac1c000c
190446ca-74f5-11ed-b0b8-0242ac1c000c,SANTO DOMINGO DE LOS TSACHILAS,Eius nesciunt ipsa itaque. Molestias recusandae autem fugit dolorum corporis sit.,902220473,Inactivo,5d69face-74f7-11ed-8d69-0242ac1c000c,359d11ac-74f7-11ed-a487-0242ac1c000c,8c051058-74f7-11ed-884d-0242ac1c000c,4a0f1e80-74f4-11ed-be5f-0242ac1c000c
190447ce-74f5-11ed-b0b8-0242ac1c000c,ESMERALDAS MATRIZ,Temporibus magni deleniti cupiditate. Ullam ducimus quo consectetur. Error quam itaque aut. Nihil eos dolorum accusamus dolorum rem.,920468758,Activo,5d69fb5a-74f7-11ed-8d69-0242ac1c000c,359d1242-74f7-11ed-a487-0242ac1c000c,8c0510c6-74f7-11ed-884d-0242ac1c000c,4a0f1f0c-74f4-11ed-be5f-0242ac1c000c
190448c8-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - BABAHOYO,Placeat quam doloribus. Ut corrupti sit. Dolore impedit repellendus.,903770092,Activo,5d69fbe6-74f7-11ed-8d69-0242ac1c000c,359d13a0-74f7-11ed-a487-0242ac1c000c,8c051120-74f7-11ed-884d-0242ac1c000c,4a0f1f98-74f4-11ed-be5f-0242ac1c000c
190449b8-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - SAN MIGUEL DE URCUQUI,Omnis quisquam est incidunt assumenda necessitatibus. Repellat officiis non eos delectus enim.,952252809,Inactivo,5d69fc72-74f7-11ed-8d69-0242ac1c000c,359d14fe-74f7-11ed-a487-0242ac1c000c,8c051184-74f7-11ed-884d-0242ac1c000c,4a0f2024-74f4-11ed-be5f-0242ac1c000c
19044abc-74f5-11ed-b0b8-0242ac1c000c,SEDE - SANTO DOMINGO,Accusamus dolor culpa error in nobis praesentium. Eaque quo excepturi asperiores quaerat enim.,933855622,Inactivo,5d69fcfe-74f7-11ed-8d69-0242ac1c000c,359d15a8-74f7-11ed-a487-0242ac1c000c,8c0511f2-74f7-11ed-884d-0242ac1c000c,4a0f20ba-74f4-11ed-be5f-0242ac1c000c
19044bc0-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - SANTO DOMINGO DE LOS TSACHILAS,Magnam cum dicta tempore nihil rem rerum. Soluta quia odit voluptates ducimus.,922784996,Activo,5d69fde4-74f7-11ed-8d69-0242ac1c000c,359d1648-74f7-11ed-a487-0242ac1c000c,8c051256-74f7-11ed-884d-0242ac1c000c,4a0f2146-74f4-11ed-be5f-0242ac1c000c
19044cb0-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - MONTALVO,Provident in voluptas magnam accusantium ipsum cum. Adipisci deleniti tempora in nisi quas. Eius veniam ut non esse quia temporibus.,921975530,Activo,5d69eeee-74f7-11ed-8d69-0242ac1c000c,359d16e8-74f7-11ed-a487-0242ac1c000c,8c0512d8-74f7-11ed-884d-0242ac1c000c,4a0f21d2-74f4-11ed-be5f-0242ac1c000c
19044d96-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - EL ANGEL,Recusandae dolorum laborum fuga. Nostrum quidem quibusdam id deleniti ipsam.,904394909,Inactivo,5d69f132-74f7-11ed-8d69-0242ac1c000c,359d1800-74f7-11ed-a487-0242ac1c000c,8c051346-74f7-11ed-884d-0242ac1c000c,4a0f2268-74f4-11ed-be5f-0242ac1c000c
19044e90-74f5-11ed-b0b8-0242ac1c000c,Sede CAÑAR,Unde alias cumque tempore natus. Autem necessitatibus amet illum illum atque.,984367944,Inactivo,5d69f1f0-74f7-11ed-8d69-0242ac1c000c,359d1896-74f7-11ed-a487-0242ac1c000c,8c0513aa-74f7-11ed-884d-0242ac1c000c,4a0f22fe-74f4-11ed-be5f-0242ac1c000c
19044f8a-74f5-11ed-b0b8-0242ac1c000c,CENTRO DE APOYO - GUAYAQUIL,Molestiae asperiores corrupti mollitia. Suscipit illo iusto soluta error officiis eos.,904538609,Inactivo,5d69f29a-74f7-11ed-8d69-0242ac1c000c,359d192c-74f7-11ed-a487-0242ac1c000c,8c05140e-74f7-11ed-884d-0242ac1c000c,4a0f238a-74f4-11ed-be5f-0242ac1c000c
1904507a-74f5-11ed-b0b8-0242ac1c000c,BABAHOYO,Dicta doloremque blanditiis quod harum quaerat quibusdam. Minima amet fugit quos alias beatae. Accusamus excepturi est numquam tenetur quos illo.,932795299,Activo,5d69f330-74f7-11ed-8d69-0242ac1c000c,359d19c2-74f7-11ed-a487-0242ac1c000c,8c051774-74f7-11ed-884d-0242ac1c000c,4a0f2420-74f4-11ed-be5f-0242ac1c000c
1904516a-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - BAÑOS,Dolorum esse optio vitae quam possimus. At modi in rerum at vel ea.,936691716,Activo,5d69f3c6-74f7-11ed-8d69-0242ac1c000c,359d1aa8-74f7-11ed-a487-0242ac1c000c,8c0517f6-74f7-11ed-884d-0242ac1c000c,4a0f2628-74f4-11ed-be5f-0242ac1c000c
1904525a-74f5-11ed-b0b8-0242ac1c000c,PATATE,Quasi veniam eligendi quo temporibus. Ducimus sapiente excepturi harum asperiores.,912485138,Inactivo,5d69f452-74f7-11ed-8d69-0242ac1c000c,359d1b3e-74f7-11ed-a487-0242ac1c000c,8c051850-74f7-11ed-884d-0242ac1c000c,4a0f26c8-74f4-11ed-be5f-0242ac1c000c
19045340-74f5-11ed-b0b8-0242ac1c000c,GUAYAQUIL,Corporis in modi ducimus unde a. Temporibus architecto at.,928004201,Activo,5d69f4f2-74f7-11ed-8d69-0242ac1c000c,359d1bd4-74f7-11ed-a487-0242ac1c000c,8c0518b4-74f7-11ed-884d-0242ac1c000c,4a0f2740-74f4-11ed-be5f-0242ac1c000c
1904544e-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - AMBATO,Voluptate quibusdam eum. Vel quis expedita eveniet.,948416799,Activo,5d69f57e-74f7-11ed-8d69-0242ac1c000c,359d1c6a-74f7-11ed-a487-0242ac1c000c,8c051918-74f7-11ed-884d-0242ac1c000c,4a0f27ae-74f4-11ed-be5f-0242ac1c000c
19045552-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - LOJA,Modi saepe voluptates pariatur asperiores. Illum minima atque quae. Voluptate at in occaecati.,950651024,Activo,5d69f60a-74f7-11ed-8d69-0242ac1c000c,359d1cf6-74f7-11ed-a487-0242ac1c000c,8c051972-74f7-11ed-884d-0242ac1c000c,4a0f2830-74f4-11ed-be5f-0242ac1c000c
19045656-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - SANTO DOMINGO DE LOS COLORADOS.,Inventore minima laboriosam illo.,925641503,Inactivo,5d69f68c-74f7-11ed-8d69-0242ac1c000c,359d1d8c-74f7-11ed-a487-0242ac1c000c,8c0519d6-74f7-11ed-884d-0242ac1c000c,4a0f28d0-74f4-11ed-be5f-0242ac1c000c
190457d2-74f5-11ed-b0b8-0242ac1c000c,CALVAS,Fugit est magnam et. Expedita quisquam voluptates maxime illum.,944157175,Activo,5d69f718-74f7-11ed-8d69-0242ac1c000c,359d1e22-74f7-11ed-a487-0242ac1c000c,8c051a3a-74f7-11ed-884d-0242ac1c000c,4a0f295c-74f4-11ed-be5f-0242ac1c000c
190458d6-74f5-11ed-b0b8-0242ac1c000c,RIOBAMBA,Vero pariatur itaque architecto. Adipisci corrupti consectetur voluptates vel quod magnam. Porro esse labore est odit inventore cupiditate exercitationem. Magni accusamus totam earum soluta temporibus.,978250340,Inactivo,5d69f7a4-74f7-11ed-8d69-0242ac1c000c,359d1eb8-74f7-11ed-a487-0242ac1c000c,8c051aa8-74f7-11ed-884d-0242ac1c000c,4a0f29f2-74f4-11ed-be5f-0242ac1c000c
190459c6-74f5-11ed-b0b8-0242ac1c000c,(LOS RIOS-QUEVEDO-QUEVEDO,Facilis facilis quam doloribus mollitia voluptatum.,942152760,Activo,5d69f826-74f7-11ed-8d69-0242ac1c000c,359d1f4e-74f7-11ed-a487-0242ac1c000c,8c051b02-74f7-11ed-884d-0242ac1c000c,4a0f2a7e-74f4-11ed-be5f-0242ac1c000c
19045ab6-74f5-11ed-b0b8-0242ac1c000c,IBARRA,Odit omnis inventore voluptates expedita laudantium reiciendis. Eligendi sed explicabo dolorem nemo reprehenderit cumque itaque. Dolorum molestias incidunt modi eius.,912690428,Inactivo,5d69f8a8-74f7-11ed-8d69-0242ac1c000c,359d1fe4-74f7-11ed-a487-0242ac1c000c,8c051b66-74f7-11ed-884d-0242ac1c000c,4a0f2b0a-74f4-11ed-be5f-0242ac1c000c
19045bba-74f5-11ed-b0b8-0242ac1c000c,COTACACHI,Placeat eligendi vero voluptates voluptatibus aspernatur quae. Incidunt quae sapiente.,931719316,Inactivo,5d69f92a-74f7-11ed-8d69-0242ac1c000c,359d207a-74f7-11ed-a487-0242ac1c000c,8c051bca-74f7-11ed-884d-0242ac1c000c,4a0f2d3a-74f4-11ed-be5f-0242ac1c000c
19045caa-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - NUEVA LOJA,Saepe quidem quam. Fugiat culpa neque illum. Ut error error repudiandae rem modi reprehenderit.,956013816,Inactivo,5d69f9ac-74f7-11ed-8d69-0242ac1c000c,359d2110-74f7-11ed-a487-0242ac1c000c,8c051c2e-74f7-11ed-884d-0242ac1c000c,4a0f2e20-74f4-11ed-be5f-0242ac1c000c
19045d9a-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - IBARRA,Deserunt a voluptas quaerat reprehenderit alias. Doloremque ut dignissimos animi. Error dolorem placeat.,977716490,Inactivo,5d69fa42-74f7-11ed-8d69-0242ac1c000c,359d219c-74f7-11ed-a487-0242ac1c000c,8c051c88-74f7-11ed-884d-0242ac1c000c,4a0f2eca-74f4-11ed-be5f-0242ac1c000c
19045e94-74f5-11ed-b0b8-0242ac1c000c,SEDE - QUITO,Possimus exercitationem ipsum consequuntur vero. Minima magni ab dicta necessitatibus error suscipit. Minus corporis illum numquam dolorem.,974266216,Inactivo,5d69face-74f7-11ed-8d69-0242ac1c000c,359d2232-74f7-11ed-a487-0242ac1c000c,8c051cf6-74f7-11ed-884d-0242ac1c000c,4a0f2f56-74f4-11ed-be5f-0242ac1c000c
19045f98-74f5-11ed-b0b8-0242ac1c000c,SANTO DOMINGO,Sequi cupiditate eaque ab id laudantium. Ea sed cum dolore ea facere. Tempora non est assumenda.,997226825,Inactivo,5d69fb5a-74f7-11ed-8d69-0242ac1c000c,359d22c8-74f7-11ed-a487-0242ac1c000c,8c051d5a-74f7-11ed-884d-0242ac1c000c,4a0f3000-74f4-11ed-be5f-0242ac1c000c
19046088-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - MACHALA,Excepturi veritatis atque. Exercitationem sequi adipisci alias hic. Rem nobis occaecati.,915538476,Activo,5d69fbe6-74f7-11ed-8d69-0242ac1c000c,359d235e-74f7-11ed-a487-0242ac1c000c,8c051dbe-74f7-11ed-884d-0242ac1c000c,4a0f3096-74f4-11ed-be5f-0242ac1c000c
19046182-74f5-11ed-b0b8-0242ac1c000c,ESMERALDAS,Voluptatum perspiciatis a sit. Quod magni iure sed amet dolor.,958807715,Inactivo,5d69fc72-74f7-11ed-8d69-0242ac1c000c,359d23ea-74f7-11ed-a487-0242ac1c000c,8c051e18-74f7-11ed-884d-0242ac1c000c,4a0f310e-74f4-11ed-be5f-0242ac1c000c
1904627c-74f5-11ed-b0b8-0242ac1c000c,LA TRONCAL,Corporis mollitia facere vero ducimus saepe. Facilis porro nam impedit.,954593154,Activo,5d69fcfe-74f7-11ed-8d69-0242ac1c000c,359d24b2-74f7-11ed-a487-0242ac1c000c,8c051e7c-74f7-11ed-884d-0242ac1c000c,4a0f3186-74f4-11ed-be5f-0242ac1c000c
1904638a-74f5-11ed-b0b8-0242ac1c000c,SEDE - AMBATO,Sit ipsa ea velit maxime neque. Eum harum dolor quod. Soluta molestias placeat minima facere officiis corporis modi.,959641240,Activo,5d69fde4-74f7-11ed-8d69-0242ac1c000c,359d257a-74f7-11ed-a487-0242ac1c000c,8c051ed6-74f7-11ed-884d-0242ac1c000c,4a0f31fe-74f4-11ed-be5f-0242ac1c000c
19046484-74f5-11ed-b0b8-0242ac1c000c,PUYO,Optio facilis vero harum repellat fugiat quos. Aut consequuntur iste aperiam ratione quia iure voluptas. Cum reiciendis illo corporis vel explicabo.,955315501,Activo,5d69eeee-74f7-11ed-8d69-0242ac1c000c,359d25fc-74f7-11ed-a487-0242ac1c000c,8c051f3a-74f7-11ed-884d-0242ac1c000c,4a0f3276-74f4-11ed-be5f-0242ac1c000c
19046574-74f5-11ed-b0b8-0242ac1c000c,GUARANDA,Veniam corporis sit ut debitis. Corporis doloremque in commodi totam.,965000078,Activo,5d69f132-74f7-11ed-8d69-0242ac1c000c,359d267e-74f7-11ed-a487-0242ac1c000c,8c051f94-74f7-11ed-884d-0242ac1c000c,4a0f32ee-74f4-11ed-be5f-0242ac1c000c
19046664-74f5-11ed-b0b8-0242ac1c000c,PUERTO QUITO,Ea minima repellat nemo assumenda. Voluptatum esse nam nam dolorem eaque corrupti totam.,962232150,Activo,5d69f1f0-74f7-11ed-8d69-0242ac1c000c,359d2700-74f7-11ed-a487-0242ac1c000c,8c051ff8-74f7-11ed-884d-0242ac1c000c,4a0f335c-74f4-11ed-be5f-0242ac1c000c
1904675e-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - PUERTO QUITO,Quae laboriosam mollitia ex nulla. Ea reiciendis iure error dicta. Voluptatem non totam quas eligendi beatae corrupti.,914947315,Activo,5d69f29a-74f7-11ed-8d69-0242ac1c000c,359d278c-74f7-11ed-a487-0242ac1c000c,8c052052-74f7-11ed-884d-0242ac1c000c,4a0f33d4-74f4-11ed-be5f-0242ac1c000c
1904686c-74f5-11ed-b0b8-0242ac1c000c,HUAQUILLAS,Aspernatur dignissimos cupiditate nemo inventore deleniti at. Quibusdam blanditiis tempore vero. A voluptatibus temporibus tempora quae voluptatem beatae. Distinctio quidem hic esse unde aperiam libero sed.,914292930,Activo,5d69f330-74f7-11ed-8d69-0242ac1c000c,359d280e-74f7-11ed-a487-0242ac1c000c,8c0520b6-74f7-11ed-884d-0242ac1c000c,4a0f3442-74f4-11ed-be5f-0242ac1c000c
19046966-74f5-11ed-b0b8-0242ac1c000c,BIBLIAN,Quae pariatur ullam quidem suscipit placeat maxime.,964096202,Activo,5d69f3c6-74f7-11ed-8d69-0242ac1c000c,359d2890-74f7-11ed-a487-0242ac1c000c,8c05211a-74f7-11ed-884d-0242ac1c000c,4a0f34b0-74f4-11ed-be5f-0242ac1c000c
19046aec-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - PASAJE,Suscipit quia maiores vitae delectus illum iusto. Natus blanditiis numquam ducimus molestiae corrupti. Nostrum harum labore laudantium reprehenderit expedita.,914345653,Activo,5d69f452-74f7-11ed-8d69-0242ac1c000c,359d291c-74f7-11ed-a487-0242ac1c000c,8c05217e-74f7-11ed-884d-0242ac1c000c,4a0f351e-74f4-11ed-be5f-0242ac1c000c
19046c22-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - DAULE,Quis quo mollitia.,995899114,Inactivo,5d69f4f2-74f7-11ed-8d69-0242ac1c000c,359d29b2-74f7-11ed-a487-0242ac1c000c,8c0521e2-74f7-11ed-884d-0242ac1c000c,4a0f35a0-74f4-11ed-be5f-0242ac1c000c
19046d26-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - AZOGUES,Ipsum distinctio nemo porro. Ullam nulla ullam.,961217688,Activo,5d69f57e-74f7-11ed-8d69-0242ac1c000c,359d2a52-74f7-11ed-a487-0242ac1c000c,8c052246-74f7-11ed-884d-0242ac1c000c,4a0f3636-74f4-11ed-be5f-0242ac1c000c
19046e20-74f5-11ed-b0b8-0242ac1c000c,SEDE - RIOBAMBA,Sed non doloremque impedit voluptatum nobis debitis. Cumque tempore qui aspernatur voluptates.,926348009,Activo,5d69f60a-74f7-11ed-8d69-0242ac1c000c,359d2ae8-74f7-11ed-a487-0242ac1c000c,8c0522aa-74f7-11ed-884d-0242ac1c000c,4a0f36cc-74f4-11ed-be5f-0242ac1c000c
19046f7e-74f5-11ed-b0b8-0242ac1c000c,LA MANA,Et quaerat voluptatem perferendis. Optio sed porro temporibus voluptates repellat. Facilis omnis repellat harum voluptatum repellat.,929083994,Activo,5d69f68c-74f7-11ed-8d69-0242ac1c000c,359d2b74-74f7-11ed-a487-0242ac1c000c,8c05230e-74f7-11ed-884d-0242ac1c000c,4a0f3a64-74f4-11ed-be5f-0242ac1c000c
190470aa-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - Sede QUITO,Corrupti necessitatibus placeat assumenda inventore saepe cum. Saepe nobis architecto modi expedita suscipit.,968120018,Activo,5d69f718-74f7-11ed-8d69-0242ac1c000c,359d2c0a-74f7-11ed-a487-0242ac1c000c,8c052372-74f7-11ed-884d-0242ac1c000c,4a0f3bf4-74f4-11ed-be5f-0242ac1c000c
190471a4-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - LIMON INDANZA,Sed aut assumenda quibusdam accusamus. Explicabo eveniet quam ea numquam porro.,933654789,Activo,5d69f7a4-74f7-11ed-8d69-0242ac1c000c,359d2d7c-74f7-11ed-a487-0242ac1c000c,8c0523d6-74f7-11ed-884d-0242ac1c000c,4a0f3cc6-74f4-11ed-be5f-0242ac1c000c
19047294-74f5-11ed-b0b8-0242ac1c000c,AMBATO,Sint nesciunt sed eum nihil hic dolorem. Enim quod consectetur quas. In nobis quibusdam distinctio omnis.,925866510,Inactivo,5d69f826-74f7-11ed-8d69-0242ac1c000c,359d2e1c-74f7-11ed-a487-0242ac1c000c,8c052430-74f7-11ed-884d-0242ac1c000c,4a0f3d66-74f4-11ed-be5f-0242ac1c000c
1904738e-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - MANTA,Dolorem suscipit ex repellendus delectus. Qui doloribus magni error nulla. Saepe ipsam quod quo.,977905086,Inactivo,5d69f8a8-74f7-11ed-8d69-0242ac1c000c,359d2eb2-74f7-11ed-a487-0242ac1c000c,8c052494-74f7-11ed-884d-0242ac1c000c,4a0f3dfc-74f4-11ed-be5f-0242ac1c000c
19047474-74f5-11ed-b0b8-0242ac1c000c,MATRIZ - ESMERALDAS,Explicabo recusandae maiores. Consectetur voluptate illo occaecati illum alias sit.,938871651,Activo,5d69f92a-74f7-11ed-8d69-0242ac1c000c,359d2f98-74f7-11ed-a487-0242ac1c000c,8c0524f8-74f7-11ed-884d-0242ac1c000c,4a0f3e88-74f4-11ed-be5f-0242ac1c000c
19047564-74f5-11ed-b0b8-0242ac1c000c,EL GUABO,Consequuntur sint suscipit omnis natus maxime. Deserunt assumenda reprehenderit nesciunt.,998145233,Inactivo,5d69f9ac-74f7-11ed-8d69-0242ac1c000c,359d3024-74f7-11ed-a487-0242ac1c000c,8c05255c-74f7-11ed-884d-0242ac1c000c,4a0f3f1e-74f4-11ed-be5f-0242ac1c000c
1904765e-74f5-11ed-b0b8-0242ac1c000c,ALAUSI,Cupiditate nam ipsum aut beatae. Nulla illo necessitatibus ratione reprehenderit dolores. Porro voluptates laboriosam a qui ducimus facere.,912702845,Activo,5d69fa42-74f7-11ed-8d69-0242ac1c000c,359d30ba-74f7-11ed-a487-0242ac1c000c,8c0525c0-74f7-11ed-884d-0242ac1c000c,4a0f3faa-74f4-11ed-be5f-0242ac1c000c
1904774e-74f5-11ed-b0b8-0242ac1c000c,CAYAMBE,Quae nisi nisi nam tenetur. Tenetur nesciunt doloribus nobis asperiores veniam corporis.,959290944,Inactivo,5d69face-74f7-11ed-8d69-0242ac1c000c,359d313c-74f7-11ed-a487-0242ac1c000c,8c05261a-74f7-11ed-884d-0242ac1c000c,4a0f4036-74f4-11ed-be5f-0242ac1c000c
