VarIdentificadorExamen,DtFechaExamen,VarEstadoExamen,VarNotaExamen
8c26daf6-74f4-11ed-9ddf-0242ac1c000c,31/1/2022,Activo,659
8c26db6e-74f4-11ed-9ddf-0242ac1c000c,1/5/2022,Inactivo,909
8c26dbdc-74f4-11ed-9ddf-0242ac1c000c,5/1/2022,Activo,431
8c26dc4a-74f4-11ed-9ddf-0242ac1c000c,31/3/2022,Inactivo,816
8c26dcc2-74f4-11ed-9ddf-0242ac1c000c,5/1/2022,Inactivo,436
8c26dd30-74f4-11ed-9ddf-0242ac1c000c,14/2/2022,Activo,986
8c26dd9e-74f4-11ed-9ddf-0242ac1c000c,15/10/2022,Inactivo,817
8c26de16-74f4-11ed-9ddf-0242ac1c000c,18/6/2022,Inactivo,998
8c26de8e-74f4-11ed-9ddf-0242ac1c000c,11/10/2022,Inactivo,461
8c26defc-74f4-11ed-9ddf-0242ac1c000c,30/11/2022,Inactivo,611
8c26df6a-74f4-11ed-9ddf-0242ac1c000c,23/4/2022,Inactivo,696
8c26e000-74f4-11ed-9ddf-0242ac1c000c,8/2/2022,Activo,508
8c26e078-74f4-11ed-9ddf-0242ac1c000c,14/6/2022,Activo,458
8c26e0e6-74f4-11ed-9ddf-0242ac1c000c,6/4/2022,Inactivo,964
8c26e2ee-74f4-11ed-9ddf-0242ac1c000c,19/11/2022,Activo,664
8c26e3a2-74f4-11ed-9ddf-0242ac1c000c,8/5/2022,Activo,631
8c26e456-74f4-11ed-9ddf-0242ac1c000c,3/5/2022,Inactivo,529
8c26e50a-74f4-11ed-9ddf-0242ac1c000c,27/4/2022,Inactivo,891
8c26e5b4-74f4-11ed-9ddf-0242ac1c000c,5/3/2022,Inactivo,805
8c26e668-74f4-11ed-9ddf-0242ac1c000c,30/8/2022,Activo,918
8c26e744-74f4-11ed-9ddf-0242ac1c000c,13/1/2022,Activo,776
8c26e7f8-74f4-11ed-9ddf-0242ac1c000c,30/9/2022,Inactivo,846
8c26e8a2-74f4-11ed-9ddf-0242ac1c000c,23/1/2022,Activo,501
8c26e94c-74f4-11ed-9ddf-0242ac1c000c,4/5/2022,Inactivo,732
8c26ea00-74f4-11ed-9ddf-0242ac1c000c,8/1/2022,Inactivo,735
8c26eabe-74f4-11ed-9ddf-0242ac1c000c,28/8/2022,Inactivo,546
8c26eb72-74f4-11ed-9ddf-0242ac1c000c,21/5/2022,Inactivo,643
8c26ec26-74f4-11ed-9ddf-0242ac1c000c,6/8/2022,Activo,781
8c26ed34-74f4-11ed-9ddf-0242ac1c000c,9/1/2022,Inactivo,661
8c26ede8-74f4-11ed-9ddf-0242ac1c000c,11/8/2022,Inactivo,658
8c26ee9c-74f4-11ed-9ddf-0242ac1c000c,10/4/2022,Inactivo,654
8c26ef5a-74f4-11ed-9ddf-0242ac1c000c,23/3/2022,Inactivo,945
8c26f004-74f4-11ed-9ddf-0242ac1c000c,19/3/2022,Activo,984
8c26f0c2-74f4-11ed-9ddf-0242ac1c000c,24/8/2022,Inactivo,484
8c26f180-74f4-11ed-9ddf-0242ac1c000c,3/4/2022,Activo,943
8c26f234-74f4-11ed-9ddf-0242ac1c000c,19/11/2022,Activo,898
8c26f2de-74f4-11ed-9ddf-0242ac1c000c,5/2/2022,Inactivo,434
8c26f392-74f4-11ed-9ddf-0242ac1c000c,9/7/2022,Activo,944
8c26f4b4-74f4-11ed-9ddf-0242ac1c000c,10/6/2022,Activo,996
8c26f572-74f4-11ed-9ddf-0242ac1c000c,1/3/2022,Activo,639
8c26f626-74f4-11ed-9ddf-0242ac1c000c,3/3/2022,Activo,432
8c26f720-74f4-11ed-9ddf-0242ac1c000c,3/1/2022,Activo,606
8c26f7de-74f4-11ed-9ddf-0242ac1c000c,12/7/2022,Activo,425
8c26f888-74f4-11ed-9ddf-0242ac1c000c,25/3/2022,Inactivo,834
8c26f93c-74f4-11ed-9ddf-0242ac1c000c,1/7/2022,Activo,467
8c26fa36-74f4-11ed-9ddf-0242ac1c000c,26/6/2022,Inactivo,577
8c26faf4-74f4-11ed-9ddf-0242ac1c000c,3/6/2022,Inactivo,523
8c26fbb2-74f4-11ed-9ddf-0242ac1c000c,26/2/2022,Inactivo,949
8c26fc66-74f4-11ed-9ddf-0242ac1c000c,29/3/2022,Activo,828
8c26fd24-74f4-11ed-9ddf-0242ac1c000c,8/1/2022,Inactivo,530
8c26fdce-74f4-11ed-9ddf-0242ac1c000c,29/9/2022,Inactivo,977
8c26fe82-74f4-11ed-9ddf-0242ac1c000c,28/1/2022,Inactivo,414
8c26ff36-74f4-11ed-9ddf-0242ac1c000c,30/1/2022,Activo,822
8c26ffea-74f4-11ed-9ddf-0242ac1c000c,30/10/2022,Inactivo,971
8c2700b2-74f4-11ed-9ddf-0242ac1c000c,14/2/2022,Activo,525
8c27015c-74f4-11ed-9ddf-0242ac1c000c,12/9/2022,Inactivo,894
8c27021a-74f4-11ed-9ddf-0242ac1c000c,21/9/2022,Inactivo,844
8c2702ce-74f4-11ed-9ddf-0242ac1c000c,4/9/2022,Activo,625
8c270382-74f4-11ed-9ddf-0242ac1c000c,10/8/2022,Inactivo,421
8c270440-74f4-11ed-9ddf-0242ac1c000c,24/5/2022,Activo,810
8c2704f4-74f4-11ed-9ddf-0242ac1c000c,21/11/2022,Activo,976
8c27059e-74f4-11ed-9ddf-0242ac1c000c,18/10/2022,Inactivo,526
8c270698-74f4-11ed-9ddf-0242ac1c000c,11/9/2022,Activo,465
8c27074c-74f4-11ed-9ddf-0242ac1c000c,1/9/2022,Activo,838
8c270896-74f4-11ed-9ddf-0242ac1c000c,9/8/2022,Activo,843
8c270986-74f4-11ed-9ddf-0242ac1c000c,12/11/2022,Activo,599
8c270a44-74f4-11ed-9ddf-0242ac1c000c,23/3/2022,Activo,929
8c270b02-74f4-11ed-9ddf-0242ac1c000c,8/4/2022,Activo,866
8c270bc0-74f4-11ed-9ddf-0242ac1c000c,10/8/2022,Activo,415
8c270c74-74f4-11ed-9ddf-0242ac1c000c,4/7/2022,Activo,414
8c270d28-74f4-11ed-9ddf-0242ac1c000c,20/7/2022,Inactivo,806
8c270ddc-74f4-11ed-9ddf-0242ac1c000c,5/11/2022,Activo,487
8c270e90-74f4-11ed-9ddf-0242ac1c000c,9/11/2022,Inactivo,868
8c270f4e-74f4-11ed-9ddf-0242ac1c000c,5/7/2022,Inactivo,667
8c270ff8-74f4-11ed-9ddf-0242ac1c000c,10/11/2022,Activo,661
8c2710ac-74f4-11ed-9ddf-0242ac1c000c,12/10/2022,Inactivo,659
8c2711e2-74f4-11ed-9ddf-0242ac1c000c,11/4/2022,Inactivo,690
8c2712a0-74f4-11ed-9ddf-0242ac1c000c,18/9/2022,Inactivo,592
8c27134a-74f4-11ed-9ddf-0242ac1c000c,23/11/2022,Activo,434
8c271444-74f4-11ed-9ddf-0242ac1c000c,14/4/2022,Inactivo,523
8c271502-74f4-11ed-9ddf-0242ac1c000c,4/6/2022,Activo,575
8c2715b6-74f4-11ed-9ddf-0242ac1c000c,9/10/2022,Activo,739
8c27166a-74f4-11ed-9ddf-0242ac1c000c,31/10/2022,Inactivo,868
8c27171e-74f4-11ed-9ddf-0242ac1c000c,6/8/2022,Activo,851
8c2717d2-74f4-11ed-9ddf-0242ac1c000c,20/2/2022,Inactivo,909
8c271886-74f4-11ed-9ddf-0242ac1c000c,25/10/2022,Inactivo,611
8c271944-74f4-11ed-9ddf-0242ac1c000c,20/9/2022,Activo,930
8c2719ee-74f4-11ed-9ddf-0242ac1c000c,24/6/2022,Activo,702
8c271aa2-74f4-11ed-9ddf-0242ac1c000c,27/4/2022,Inactivo,661
8c271b56-74f4-11ed-9ddf-0242ac1c000c,19/4/2022,Activo,452
8c271c00-74f4-11ed-9ddf-0242ac1c000c,10/4/2022,Activo,990
8c271caa-74f4-11ed-9ddf-0242ac1c000c,26/3/2022,Activo,752
8c271d54-74f4-11ed-9ddf-0242ac1c000c,11/5/2022,Activo,821
8c271e44-74f4-11ed-9ddf-0242ac1c000c,12/11/2022,Inactivo,779
8c271f02-74f4-11ed-9ddf-0242ac1c000c,30/5/2022,Inactivo,921
8c271fb6-74f4-11ed-9ddf-0242ac1c000c,8/10/2022,Activo,413
8c2720b0-74f4-11ed-9ddf-0242ac1c000c,10/11/2022,Activo,749
8c272178-74f4-11ed-9ddf-0242ac1c000c,17/2/2022,Activo,446
8c272236-74f4-11ed-9ddf-0242ac1c000c,23/10/2022,Inactivo,639
8c2722e0-74f4-11ed-9ddf-0242ac1c000c,1/3/2022,Inactivo,744
8c272394-74f4-11ed-9ddf-0242ac1c000c,12/7/2022,Inactivo,789
8c272452-74f4-11ed-9ddf-0242ac1c000c,1/5/2022,Inactivo,758
8c272506-74f4-11ed-9ddf-0242ac1c000c,19/1/2022,Inactivo,807
8c2725ba-74f4-11ed-9ddf-0242ac1c000c,10/11/2022,Activo,897
8c27266e-74f4-11ed-9ddf-0242ac1c000c,16/11/2022,Activo,895
8c272722-74f4-11ed-9ddf-0242ac1c000c,26/6/2022,Activo,581
8c2727cc-74f4-11ed-9ddf-0242ac1c000c,21/4/2022,Inactivo,883
8c272880-74f4-11ed-9ddf-0242ac1c000c,12/9/2022,Activo,486
8c272934-74f4-11ed-9ddf-0242ac1c000c,9/1/2022,Activo,670
8c2729de-74f4-11ed-9ddf-0242ac1c000c,14/9/2022,Inactivo,542
8c272a9c-74f4-11ed-9ddf-0242ac1c000c,8/9/2022,Inactivo,840
8c272b50-74f4-11ed-9ddf-0242ac1c000c,16/9/2022,Inactivo,772
8c272bfa-74f4-11ed-9ddf-0242ac1c000c,3/11/2022,Inactivo,894
8c272cfe-74f4-11ed-9ddf-0242ac1c000c,14/8/2022,Activo,706
8c272db2-74f4-11ed-9ddf-0242ac1c000c,4/2/2022,Activo,965
8c272e66-74f4-11ed-9ddf-0242ac1c000c,22/9/2022,Activo,738
8c272f92-74f4-11ed-9ddf-0242ac1c000c,23/3/2022,Inactivo,710
8c273064-74f4-11ed-9ddf-0242ac1c000c,9/11/2022,Activo,958
8c273118-74f4-11ed-9ddf-0242ac1c000c,18/9/2022,Inactivo,688
8c2731d6-74f4-11ed-9ddf-0242ac1c000c,3/6/2022,Activo,919
8c27328a-74f4-11ed-9ddf-0242ac1c000c,20/6/2022,Inactivo,618
8c27333e-74f4-11ed-9ddf-0242ac1c000c,20/9/2022,Activo,471
8c2733e8-74f4-11ed-9ddf-0242ac1c000c,5/4/2022,Activo,794
8c27349c-74f4-11ed-9ddf-0242ac1c000c,1/9/2022,Activo,584
8c273546-74f4-11ed-9ddf-0242ac1c000c,8/11/2022,Activo,508
8c2735fa-74f4-11ed-9ddf-0242ac1c000c,29/9/2022,Activo,610
8c2736ae-74f4-11ed-9ddf-0242ac1c000c,22/7/2022,Inactivo,782
8c273762-74f4-11ed-9ddf-0242ac1c000c,30/11/2022,Activo,517
8c273816-74f4-11ed-9ddf-0242ac1c000c,5/1/2022,Inactivo,745
8c2738f2-74f4-11ed-9ddf-0242ac1c000c,27/10/2022,Inactivo,484
8c2739ec-74f4-11ed-9ddf-0242ac1c000c,17/3/2022,Inactivo,808
8c273aaa-74f4-11ed-9ddf-0242ac1c000c,4/6/2022,Inactivo,627
8c273b68-74f4-11ed-9ddf-0242ac1c000c,10/5/2022,Activo,450
8c273c1c-74f4-11ed-9ddf-0242ac1c000c,23/11/2022,Activo,410
8c273cd0-74f4-11ed-9ddf-0242ac1c000c,6/10/2022,Activo,464
8c273d84-74f4-11ed-9ddf-0242ac1c000c,28/2/2022,Inactivo,694
8c273e42-74f4-11ed-9ddf-0242ac1c000c,14/5/2022,Activo,416
8c273ef6-74f4-11ed-9ddf-0242ac1c000c,15/10/2022,Inactivo,572
8c273fb4-74f4-11ed-9ddf-0242ac1c000c,2/3/2022,Inactivo,596
8c274068-74f4-11ed-9ddf-0242ac1c000c,10/8/2022,Activo,521
8c274112-74f4-11ed-9ddf-0242ac1c000c,24/6/2022,Inactivo,761
8c2741c6-74f4-11ed-9ddf-0242ac1c000c,8/4/2022,Inactivo,623
8c27427a-74f4-11ed-9ddf-0242ac1c000c,6/9/2022,Activo,648
8c27432e-74f4-11ed-9ddf-0242ac1c000c,2/11/2022,Activo,675
8c2743e2-74f4-11ed-9ddf-0242ac1c000c,4/5/2022,Inactivo,597
8c274496-74f4-11ed-9ddf-0242ac1c000c,24/1/2022,Inactivo,629
8c2745a4-74f4-11ed-9ddf-0242ac1c000c,11/6/2022,Activo,573
8c27469e-74f4-11ed-9ddf-0242ac1c000c,31/10/2022,Activo,873
8c27475c-74f4-11ed-9ddf-0242ac1c000c,28/1/2022,Inactivo,823
8c274806-74f4-11ed-9ddf-0242ac1c000c,22/10/2022,Inactivo,565
8c2748ba-74f4-11ed-9ddf-0242ac1c000c,23/11/2022,Activo,464
8c27496e-74f4-11ed-9ddf-0242ac1c000c,27/4/2022,Activo,448
8c274a22-74f4-11ed-9ddf-0242ac1c000c,14/4/2022,Inactivo,894
8c274acc-74f4-11ed-9ddf-0242ac1c000c,10/3/2022,Activo,965
8c274b80-74f4-11ed-9ddf-0242ac1c000c,12/4/2022,Activo,836
8c274c34-74f4-11ed-9ddf-0242ac1c000c,6/2/2022,Inactivo,982
8c274ce8-74f4-11ed-9ddf-0242ac1c000c,21/6/2022,Activo,824
8c274d9c-74f4-11ed-9ddf-0242ac1c000c,19/5/2022,Activo,972
8c274e50-74f4-11ed-9ddf-0242ac1c000c,31/1/2022,Activo,809
8c274f18-74f4-11ed-9ddf-0242ac1c000c,19/11/2022,Inactivo,480
8c274fcc-74f4-11ed-9ddf-0242ac1c000c,3/2/2022,Activo,871
8c27508a-74f4-11ed-9ddf-0242ac1c000c,18/10/2022,Activo,405
8c27513e-74f4-11ed-9ddf-0242ac1c000c,21/10/2022,Activo,817
8c2751f2-74f4-11ed-9ddf-0242ac1c000c,13/1/2022,Inactivo,699
8c2752f6-74f4-11ed-9ddf-0242ac1c000c,15/4/2022,Activo,421
8c27538c-74f4-11ed-9ddf-0242ac1c000c,9/9/2022,Inactivo,884
8c27542c-74f4-11ed-9ddf-0242ac1c000c,12/9/2022,Activo,922
8c2754e0-74f4-11ed-9ddf-0242ac1c000c,12/8/2022,Inactivo,444
8c275594-74f4-11ed-9ddf-0242ac1c000c,24/8/2022,Inactivo,655
8c2756c0-74f4-11ed-9ddf-0242ac1c000c,22/3/2022,Inactivo,635
8c275792-74f4-11ed-9ddf-0242ac1c000c,28/10/2022,Activo,526
8c275846-74f4-11ed-9ddf-0242ac1c000c,17/2/2022,Inactivo,453
8c2758fa-74f4-11ed-9ddf-0242ac1c000c,11/9/2022,Inactivo,508
8c2759ae-74f4-11ed-9ddf-0242ac1c000c,21/4/2022,Activo,746
8c275a62-74f4-11ed-9ddf-0242ac1c000c,21/4/2022,Activo,416
8c275b16-74f4-11ed-9ddf-0242ac1c000c,6/1/2022,Activo,981
8c275bca-74f4-11ed-9ddf-0242ac1c000c,21/7/2022,Activo,807
8c275c9c-74f4-11ed-9ddf-0242ac1c000c,11/10/2022,Inactivo,748
8c275d50-74f4-11ed-9ddf-0242ac1c000c,13/4/2022,Activo,451
8c275dfa-74f4-11ed-9ddf-0242ac1c000c,20/6/2022,Activo,730
8c275eae-74f4-11ed-9ddf-0242ac1c000c,19/11/2022,Inactivo,951
8c275fa8-74f4-11ed-9ddf-0242ac1c000c,19/6/2022,Activo,924
8c27605c-74f4-11ed-9ddf-0242ac1c000c,15/8/2022,Inactivo,637
8c276110-74f4-11ed-9ddf-0242ac1c000c,2/7/2022,Inactivo,523
8c2761c4-74f4-11ed-9ddf-0242ac1c000c,9/4/2022,Activo,770
8c27626e-74f4-11ed-9ddf-0242ac1c000c,5/3/2022,Inactivo,532
8c276322-74f4-11ed-9ddf-0242ac1c000c,13/5/2022,Inactivo,458
8c2763d6-74f4-11ed-9ddf-0242ac1c000c,8/3/2022,Activo,455
8c276480-74f4-11ed-9ddf-0242ac1c000c,28/1/2022,Inactivo,999
8c27653e-74f4-11ed-9ddf-0242ac1c000c,17/11/2022,Activo,592
8c2765f2-74f4-11ed-9ddf-0242ac1c000c,8/8/2022,Activo,805
8c27669c-74f4-11ed-9ddf-0242ac1c000c,19/11/2022,Activo,968
8c276750-74f4-11ed-9ddf-0242ac1c000c,16/10/2022,Inactivo,803
8c276804-74f4-11ed-9ddf-0242ac1c000c,19/7/2022,Inactivo,536
8c2768ae-74f4-11ed-9ddf-0242ac1c000c,17/10/2022,Inactivo,922
8c276958-74f4-11ed-9ddf-0242ac1c000c,31/1/2022,Activo,601
8c276a0c-74f4-11ed-9ddf-0242ac1c000c,4/9/2022,Inactivo,931
8c276af2-74f4-11ed-9ddf-0242ac1c000c,28/9/2022,Inactivo,931
8c276c46-74f4-11ed-9ddf-0242ac1c000c,2/4/2022,Activo,801
8c276d18-74f4-11ed-9ddf-0242ac1c000c,9/7/2022,Activo,662
8c276dd6-74f4-11ed-9ddf-0242ac1c000c,11/1/2022,Inactivo,607
8c276e94-74f4-11ed-9ddf-0242ac1c000c,16/11/2022,Activo,848
8c276f48-74f4-11ed-9ddf-0242ac1c000c,10/2/2022,Inactivo,917
8c276ffc-74f4-11ed-9ddf-0242ac1c000c,5/3/2022,Inactivo,522
8c2770a6-74f4-11ed-9ddf-0242ac1c000c,18/5/2022,Inactivo,820
8c27715a-74f4-11ed-9ddf-0242ac1c000c,3/1/2022,Inactivo,934
8c27720e-74f4-11ed-9ddf-0242ac1c000c,10/2/2022,Inactivo,874
8c2772b8-74f4-11ed-9ddf-0242ac1c000c,1/7/2022,Activo,837
8c27736c-74f4-11ed-9ddf-0242ac1c000c,11/4/2022,Inactivo,914
8c277416-74f4-11ed-9ddf-0242ac1c000c,8/8/2022,Inactivo,613
8c2774c0-74f4-11ed-9ddf-0242ac1c000c,5/5/2022,Activo,429
8c27756a-74f4-11ed-9ddf-0242ac1c000c,1/9/2022,Inactivo,466
8c27761e-74f4-11ed-9ddf-0242ac1c000c,17/10/2022,Inactivo,992
8c2776dc-74f4-11ed-9ddf-0242ac1c000c,15/10/2022,Inactivo,889
8c277790-74f4-11ed-9ddf-0242ac1c000c,6/6/2022,Inactivo,664
8c27788a-74f4-11ed-9ddf-0242ac1c000c,25/6/2022,Inactivo,558
8c27793e-74f4-11ed-9ddf-0242ac1c000c,18/3/2022,Activo,564
8c2779fc-74f4-11ed-9ddf-0242ac1c000c,22/6/2022,Activo,770
8c277ab0-74f4-11ed-9ddf-0242ac1c000c,20/9/2022,Activo,539
8c277b5a-74f4-11ed-9ddf-0242ac1c000c,20/3/2022,Inactivo,515
8c277c0e-74f4-11ed-9ddf-0242ac1c000c,8/6/2022,Inactivo,763
8c277cc2-74f4-11ed-9ddf-0242ac1c000c,9/8/2022,Inactivo,956
8c277df8-74f4-11ed-9ddf-0242ac1c000c,27/2/2022,Inactivo,793
8c277ec0-74f4-11ed-9ddf-0242ac1c000c,16/8/2022,Activo,815
8c277f74-74f4-11ed-9ddf-0242ac1c000c,28/8/2022,Activo,439
8c278032-74f4-11ed-9ddf-0242ac1c000c,26/7/2022,Activo,531
8c2780e6-74f4-11ed-9ddf-0242ac1c000c,4/6/2022,Inactivo,593
8c27819a-74f4-11ed-9ddf-0242ac1c000c,18/5/2022,Inactivo,924
8c278244-74f4-11ed-9ddf-0242ac1c000c,2/4/2022,Inactivo,554
8c2782f8-74f4-11ed-9ddf-0242ac1c000c,29/5/2022,Activo,781
8c2783a2-74f4-11ed-9ddf-0242ac1c000c,20/6/2022,Inactivo,551
8c278456-74f4-11ed-9ddf-0242ac1c000c,15/7/2022,Inactivo,473
8c27853c-74f4-11ed-9ddf-0242ac1c000c,14/9/2022,Activo,934
8c2785f0-74f4-11ed-9ddf-0242ac1c000c,8/4/2022,Activo,782
8c27869a-74f4-11ed-9ddf-0242ac1c000c,14/2/2022,Activo,675
8c27874e-74f4-11ed-9ddf-0242ac1c000c,9/4/2022,Activo,702
8c278802-74f4-11ed-9ddf-0242ac1c000c,6/6/2022,Inactivo,594
8c2788c0-74f4-11ed-9ddf-0242ac1c000c,26/2/2022,Inactivo,605
8c278974-74f4-11ed-9ddf-0242ac1c000c,24/10/2022,Activo,599
8c278a1e-74f4-11ed-9ddf-0242ac1c000c,20/2/2022,Activo,681
8c278ad2-74f4-11ed-9ddf-0242ac1c000c,15/8/2022,Activo,499
8c278b86-74f4-11ed-9ddf-0242ac1c000c,28/1/2022,Activo,596
8c278c3a-74f4-11ed-9ddf-0242ac1c000c,10/7/2022,Inactivo,635
8c278cee-74f4-11ed-9ddf-0242ac1c000c,22/1/2022,Activo,607
8c278da2-74f4-11ed-9ddf-0242ac1c000c,10/3/2022,Inactivo,694
8c278e56-74f4-11ed-9ddf-0242ac1c000c,8/10/2022,Inactivo,419
8c278f00-74f4-11ed-9ddf-0242ac1c000c,21/2/2022,Activo,880
8c278fb4-74f4-11ed-9ddf-0242ac1c000c,9/9/2022,Inactivo,997
8c27905e-74f4-11ed-9ddf-0242ac1c000c,3/4/2022,Inactivo,737
8c279158-74f4-11ed-9ddf-0242ac1c000c,11/7/2022,Activo,768
8c27920c-74f4-11ed-9ddf-0242ac1c000c,7/1/2022,Activo,581
8c2792c0-74f4-11ed-9ddf-0242ac1c000c,21/7/2022,Activo,561
8c2793a6-74f4-11ed-9ddf-0242ac1c000c,11/4/2022,Activo,954
8c279446-74f4-11ed-9ddf-0242ac1c000c,23/6/2022,Inactivo,597
