VarIdentificadorCarrerasSedes,VarIdentificadorInstitucionEducativa,VarIdentificadorCarreras,VarIdentificadorSedes,VarIdentificadorParroquia,VarIdentificadorCanton,VarIdentificadorProvincia
5ed87ffe-74f5-11ed-8600-0242ac1c000c,4a0f1d4a-74f4-11ed-be5f-0242ac1c000c,30f7c17c-74f4-11ed-9ec6-0242ac1c000c,190444a4-74f5-11ed-b0b8-0242ac1c000c,359d1080-74f7-11ed-a487-0242ac1c000c,8c050f86-74f7-11ed-884d-0242ac1c000c,5d69f9ac-74f7-11ed-8d69-0242ac1c000c
5ed8809e-74f5-11ed-8600-0242ac1c000c,4a0f1de0-74f4-11ed-be5f-0242ac1c000c,30f7c226-74f4-11ed-9ec6-0242ac1c000c,190445c6-74f5-11ed-b0b8-0242ac1c000c,359d1116-74f7-11ed-a487-0242ac1c000c,8c050ff4-74f7-11ed-884d-0242ac1c000c,5d69fa42-74f7-11ed-8d69-0242ac1c000c
5ed8813e-74f5-11ed-8600-0242ac1c000c,4a0f1e80-74f4-11ed-be5f-0242ac1c000c,30f7c2d0-74f4-11ed-9ec6-0242ac1c000c,190446ca-74f5-11ed-b0b8-0242ac1c000c,359d11ac-74f7-11ed-a487-0242ac1c000c,8c051058-74f7-11ed-884d-0242ac1c000c,5d69face-74f7-11ed-8d69-0242ac1c000c
5ed881de-74f5-11ed-8600-0242ac1c000c,4a0f1f0c-74f4-11ed-be5f-0242ac1c000c,30f7c398-74f4-11ed-9ec6-0242ac1c000c,190447ce-74f5-11ed-b0b8-0242ac1c000c,359d1242-74f7-11ed-a487-0242ac1c000c,8c0510c6-74f7-11ed-884d-0242ac1c000c,5d69fb5a-74f7-11ed-8d69-0242ac1c000c
5ed8827e-74f5-11ed-8600-0242ac1c000c,4a0f1f98-74f4-11ed-be5f-0242ac1c000c,30f7c442-74f4-11ed-9ec6-0242ac1c000c,190448c8-74f5-11ed-b0b8-0242ac1c000c,359d13a0-74f7-11ed-a487-0242ac1c000c,8c051120-74f7-11ed-884d-0242ac1c000c,5d69fbe6-74f7-11ed-8d69-0242ac1c000c
5ed8831e-74f5-11ed-8600-0242ac1c000c,4a0f2024-74f4-11ed-be5f-0242ac1c000c,30f7c4f6-74f4-11ed-9ec6-0242ac1c000c,190449b8-74f5-11ed-b0b8-0242ac1c000c,359d14fe-74f7-11ed-a487-0242ac1c000c,8c051184-74f7-11ed-884d-0242ac1c000c,5d69fc72-74f7-11ed-8d69-0242ac1c000c
5ed883aa-74f5-11ed-8600-0242ac1c000c,4a0f20ba-74f4-11ed-be5f-0242ac1c000c,30f7c5aa-74f4-11ed-9ec6-0242ac1c000c,19044abc-74f5-11ed-b0b8-0242ac1c000c,359d15a8-74f7-11ed-a487-0242ac1c000c,8c0511f2-74f7-11ed-884d-0242ac1c000c,5d69fcfe-74f7-11ed-8d69-0242ac1c000c
5ed8844a-74f5-11ed-8600-0242ac1c000c,4a0f2146-74f4-11ed-be5f-0242ac1c000c,30f7c654-74f4-11ed-9ec6-0242ac1c000c,19044bc0-74f5-11ed-b0b8-0242ac1c000c,359d1648-74f7-11ed-a487-0242ac1c000c,8c051256-74f7-11ed-884d-0242ac1c000c,5d69fde4-74f7-11ed-8d69-0242ac1c000c
5ed884ea-74f5-11ed-8600-0242ac1c000c,4a0f21d2-74f4-11ed-be5f-0242ac1c000c,30f7c6fe-74f4-11ed-9ec6-0242ac1c000c,19044cb0-74f5-11ed-b0b8-0242ac1c000c,359d16e8-74f7-11ed-a487-0242ac1c000c,8c0512d8-74f7-11ed-884d-0242ac1c000c,5d69eeee-74f7-11ed-8d69-0242ac1c000c
5ed88580-74f5-11ed-8600-0242ac1c000c,4a0f2268-74f4-11ed-be5f-0242ac1c000c,30f7c7bc-74f4-11ed-9ec6-0242ac1c000c,19044d96-74f5-11ed-b0b8-0242ac1c000c,359d1800-74f7-11ed-a487-0242ac1c000c,8c051346-74f7-11ed-884d-0242ac1c000c,5d69f132-74f7-11ed-8d69-0242ac1c000c
5ed8862a-74f5-11ed-8600-0242ac1c000c,4a0f22fe-74f4-11ed-be5f-0242ac1c000c,30f7c870-74f4-11ed-9ec6-0242ac1c000c,19044e90-74f5-11ed-b0b8-0242ac1c000c,359d1896-74f7-11ed-a487-0242ac1c000c,8c0513aa-74f7-11ed-884d-0242ac1c000c,5d69f1f0-74f7-11ed-8d69-0242ac1c000c
5ed886ca-74f5-11ed-8600-0242ac1c000c,4a0f238a-74f4-11ed-be5f-0242ac1c000c,30f7c924-74f4-11ed-9ec6-0242ac1c000c,19044f8a-74f5-11ed-b0b8-0242ac1c000c,359d192c-74f7-11ed-a487-0242ac1c000c,8c05140e-74f7-11ed-884d-0242ac1c000c,5d69f29a-74f7-11ed-8d69-0242ac1c000c
5ed88774-74f5-11ed-8600-0242ac1c000c,4a0f2420-74f4-11ed-be5f-0242ac1c000c,30f7c9ce-74f4-11ed-9ec6-0242ac1c000c,1904507a-74f5-11ed-b0b8-0242ac1c000c,359d19c2-74f7-11ed-a487-0242ac1c000c,8c051774-74f7-11ed-884d-0242ac1c000c,5d69f330-74f7-11ed-8d69-0242ac1c000c
5ed88814-74f5-11ed-8600-0242ac1c000c,4a0f2628-74f4-11ed-be5f-0242ac1c000c,30f7ca78-74f4-11ed-9ec6-0242ac1c000c,1904516a-74f5-11ed-b0b8-0242ac1c000c,359d1aa8-74f7-11ed-a487-0242ac1c000c,8c0517f6-74f7-11ed-884d-0242ac1c000c,5d69f3c6-74f7-11ed-8d69-0242ac1c000c
5ed888b4-74f5-11ed-8600-0242ac1c000c,4a0f26c8-74f4-11ed-be5f-0242ac1c000c,30f7cb22-74f4-11ed-9ec6-0242ac1c000c,1904525a-74f5-11ed-b0b8-0242ac1c000c,359d1b3e-74f7-11ed-a487-0242ac1c000c,8c051850-74f7-11ed-884d-0242ac1c000c,5d69f452-74f7-11ed-8d69-0242ac1c000c
5ed88954-74f5-11ed-8600-0242ac1c000c,4a0f2740-74f4-11ed-be5f-0242ac1c000c,30f7cc76-74f4-11ed-9ec6-0242ac1c000c,19045340-74f5-11ed-b0b8-0242ac1c000c,359d1bd4-74f7-11ed-a487-0242ac1c000c,8c0518b4-74f7-11ed-884d-0242ac1c000c,5d69f4f2-74f7-11ed-8d69-0242ac1c000c
5ed889fe-74f5-11ed-8600-0242ac1c000c,4a0f27ae-74f4-11ed-be5f-0242ac1c000c,30f7cd2a-74f4-11ed-9ec6-0242ac1c000c,1904544e-74f5-11ed-b0b8-0242ac1c000c,359d1c6a-74f7-11ed-a487-0242ac1c000c,8c051918-74f7-11ed-884d-0242ac1c000c,5d69f57e-74f7-11ed-8d69-0242ac1c000c
5ed88a94-74f5-11ed-8600-0242ac1c000c,4a0f2830-74f4-11ed-be5f-0242ac1c000c,30f7cdd4-74f4-11ed-9ec6-0242ac1c000c,19045552-74f5-11ed-b0b8-0242ac1c000c,359d1cf6-74f7-11ed-a487-0242ac1c000c,8c051972-74f7-11ed-884d-0242ac1c000c,5d69f60a-74f7-11ed-8d69-0242ac1c000c
5ed88b34-74f5-11ed-8600-0242ac1c000c,4a0f28d0-74f4-11ed-be5f-0242ac1c000c,30f7ce74-74f4-11ed-9ec6-0242ac1c000c,19045656-74f5-11ed-b0b8-0242ac1c000c,359d1d8c-74f7-11ed-a487-0242ac1c000c,8c0519d6-74f7-11ed-884d-0242ac1c000c,5d69f68c-74f7-11ed-8d69-0242ac1c000c
5ed88bde-74f5-11ed-8600-0242ac1c000c,4a0f295c-74f4-11ed-be5f-0242ac1c000c,30f7cf32-74f4-11ed-9ec6-0242ac1c000c,190457d2-74f5-11ed-b0b8-0242ac1c000c,359d1e22-74f7-11ed-a487-0242ac1c000c,8c051a3a-74f7-11ed-884d-0242ac1c000c,5d69f718-74f7-11ed-8d69-0242ac1c000c
5ed88d14-74f5-11ed-8600-0242ac1c000c,4a0f29f2-74f4-11ed-be5f-0242ac1c000c,30f7cfe6-74f4-11ed-9ec6-0242ac1c000c,190458d6-74f5-11ed-b0b8-0242ac1c000c,359d1eb8-74f7-11ed-a487-0242ac1c000c,8c051aa8-74f7-11ed-884d-0242ac1c000c,5d69f7a4-74f7-11ed-8d69-0242ac1c000c
5ed88dd2-74f5-11ed-8600-0242ac1c000c,4a0f2a7e-74f4-11ed-be5f-0242ac1c000c,30f7d09a-74f4-11ed-9ec6-0242ac1c000c,190459c6-74f5-11ed-b0b8-0242ac1c000c,359d1f4e-74f7-11ed-a487-0242ac1c000c,8c051b02-74f7-11ed-884d-0242ac1c000c,5d69f826-74f7-11ed-8d69-0242ac1c000c
5ed88e7c-74f5-11ed-8600-0242ac1c000c,4a0f2b0a-74f4-11ed-be5f-0242ac1c000c,30f7d144-74f4-11ed-9ec6-0242ac1c000c,19045ab6-74f5-11ed-b0b8-0242ac1c000c,359d1fe4-74f7-11ed-a487-0242ac1c000c,8c051b66-74f7-11ed-884d-0242ac1c000c,5d69f8a8-74f7-11ed-8d69-0242ac1c000c
5ed88f1c-74f5-11ed-8600-0242ac1c000c,4a0f2d3a-74f4-11ed-be5f-0242ac1c000c,30f7d45a-74f4-11ed-9ec6-0242ac1c000c,19045bba-74f5-11ed-b0b8-0242ac1c000c,359d207a-74f7-11ed-a487-0242ac1c000c,8c051bca-74f7-11ed-884d-0242ac1c000c,5d69f92a-74f7-11ed-8d69-0242ac1c000c
5ed88fd0-74f5-11ed-8600-0242ac1c000c,4a0f2e20-74f4-11ed-be5f-0242ac1c000c,30f7d586-74f4-11ed-9ec6-0242ac1c000c,19045caa-74f5-11ed-b0b8-0242ac1c000c,359d2110-74f7-11ed-a487-0242ac1c000c,8c051c2e-74f7-11ed-884d-0242ac1c000c,5d69f9ac-74f7-11ed-8d69-0242ac1c000c
5ed89084-74f5-11ed-8600-0242ac1c000c,4a0f2eca-74f4-11ed-be5f-0242ac1c000c,30f7d63a-74f4-11ed-9ec6-0242ac1c000c,19045d9a-74f5-11ed-b0b8-0242ac1c000c,359d219c-74f7-11ed-a487-0242ac1c000c,8c051c88-74f7-11ed-884d-0242ac1c000c,5d69fa42-74f7-11ed-8d69-0242ac1c000c
5ed8912e-74f5-11ed-8600-0242ac1c000c,4a0f2f56-74f4-11ed-be5f-0242ac1c000c,30f7d7d4-74f4-11ed-9ec6-0242ac1c000c,19045e94-74f5-11ed-b0b8-0242ac1c000c,359d2232-74f7-11ed-a487-0242ac1c000c,8c051cf6-74f7-11ed-884d-0242ac1c000c,5d69face-74f7-11ed-8d69-0242ac1c000c
5ed891ce-74f5-11ed-8600-0242ac1c000c,4a0f3000-74f4-11ed-be5f-0242ac1c000c,30f7d892-74f4-11ed-9ec6-0242ac1c000c,19045f98-74f5-11ed-b0b8-0242ac1c000c,359d22c8-74f7-11ed-a487-0242ac1c000c,8c051d5a-74f7-11ed-884d-0242ac1c000c,5d69fb5a-74f7-11ed-8d69-0242ac1c000c
5ed89278-74f5-11ed-8600-0242ac1c000c,4a0f3096-74f4-11ed-be5f-0242ac1c000c,30f7d93c-74f4-11ed-9ec6-0242ac1c000c,19046088-74f5-11ed-b0b8-0242ac1c000c,359d235e-74f7-11ed-a487-0242ac1c000c,8c051dbe-74f7-11ed-884d-0242ac1c000c,5d69fbe6-74f7-11ed-8d69-0242ac1c000c
5ed8932c-74f5-11ed-8600-0242ac1c000c,4a0f310e-74f4-11ed-be5f-0242ac1c000c,30f7d9e6-74f4-11ed-9ec6-0242ac1c000c,19046182-74f5-11ed-b0b8-0242ac1c000c,359d23ea-74f7-11ed-a487-0242ac1c000c,8c051e18-74f7-11ed-884d-0242ac1c000c,5d69fc72-74f7-11ed-8d69-0242ac1c000c
5ed893d6-74f5-11ed-8600-0242ac1c000c,4a0f3186-74f4-11ed-be5f-0242ac1c000c,30f7db1c-74f4-11ed-9ec6-0242ac1c000c,1904627c-74f5-11ed-b0b8-0242ac1c000c,359d24b2-74f7-11ed-a487-0242ac1c000c,8c051e7c-74f7-11ed-884d-0242ac1c000c,5d69fcfe-74f7-11ed-8d69-0242ac1c000c
5ed8948a-74f5-11ed-8600-0242ac1c000c,4a0f31fe-74f4-11ed-be5f-0242ac1c000c,30f7dbd0-74f4-11ed-9ec6-0242ac1c000c,1904638a-74f5-11ed-b0b8-0242ac1c000c,359d257a-74f7-11ed-a487-0242ac1c000c,8c051ed6-74f7-11ed-884d-0242ac1c000c,5d69fde4-74f7-11ed-8d69-0242ac1c000c
5ed8953e-74f5-11ed-8600-0242ac1c000c,4a0f3276-74f4-11ed-be5f-0242ac1c000c,30f7dc7a-74f4-11ed-9ec6-0242ac1c000c,19046484-74f5-11ed-b0b8-0242ac1c000c,359d25fc-74f7-11ed-a487-0242ac1c000c,8c051f3a-74f7-11ed-884d-0242ac1c000c,5d69eeee-74f7-11ed-8d69-0242ac1c000c
5ed895f2-74f5-11ed-8600-0242ac1c000c,4a0f32ee-74f4-11ed-be5f-0242ac1c000c,30f7dd38-74f4-11ed-9ec6-0242ac1c000c,19046574-74f5-11ed-b0b8-0242ac1c000c,359d267e-74f7-11ed-a487-0242ac1c000c,8c051f94-74f7-11ed-884d-0242ac1c000c,5d69f132-74f7-11ed-8d69-0242ac1c000c
5ed896a6-74f5-11ed-8600-0242ac1c000c,4a0f335c-74f4-11ed-be5f-0242ac1c000c,30f7dea0-74f4-11ed-9ec6-0242ac1c000c,19046664-74f5-11ed-b0b8-0242ac1c000c,359d2700-74f7-11ed-a487-0242ac1c000c,8c051ff8-74f7-11ed-884d-0242ac1c000c,5d69f1f0-74f7-11ed-8d69-0242ac1c000c
5ed89764-74f5-11ed-8600-0242ac1c000c,4a0f33d4-74f4-11ed-be5f-0242ac1c000c,30f7df5e-74f4-11ed-9ec6-0242ac1c000c,1904675e-74f5-11ed-b0b8-0242ac1c000c,359d278c-74f7-11ed-a487-0242ac1c000c,8c052052-74f7-11ed-884d-0242ac1c000c,5d69f29a-74f7-11ed-8d69-0242ac1c000c
5ed898c2-74f5-11ed-8600-0242ac1c000c,4a0f3442-74f4-11ed-be5f-0242ac1c000c,30f7e008-74f4-11ed-9ec6-0242ac1c000c,1904686c-74f5-11ed-b0b8-0242ac1c000c,359d280e-74f7-11ed-a487-0242ac1c000c,8c0520b6-74f7-11ed-884d-0242ac1c000c,5d69f330-74f7-11ed-8d69-0242ac1c000c
5ed8998a-74f5-11ed-8600-0242ac1c000c,4a0f34b0-74f4-11ed-be5f-0242ac1c000c,30f7e134-74f4-11ed-9ec6-0242ac1c000c,19046966-74f5-11ed-b0b8-0242ac1c000c,359d2890-74f7-11ed-a487-0242ac1c000c,8c05211a-74f7-11ed-884d-0242ac1c000c,5d69f3c6-74f7-11ed-8d69-0242ac1c000c
5ed89a3e-74f5-11ed-8600-0242ac1c000c,4a0f351e-74f4-11ed-be5f-0242ac1c000c,30f7e1e8-74f4-11ed-9ec6-0242ac1c000c,19046aec-74f5-11ed-b0b8-0242ac1c000c,359d291c-74f7-11ed-a487-0242ac1c000c,8c05217e-74f7-11ed-884d-0242ac1c000c,5d69f452-74f7-11ed-8d69-0242ac1c000c
5ed89af2-74f5-11ed-8600-0242ac1c000c,4a0f35a0-74f4-11ed-be5f-0242ac1c000c,30f7e2e2-74f4-11ed-9ec6-0242ac1c000c,19046c22-74f5-11ed-b0b8-0242ac1c000c,359d29b2-74f7-11ed-a487-0242ac1c000c,8c0521e2-74f7-11ed-884d-0242ac1c000c,5d69f4f2-74f7-11ed-8d69-0242ac1c000c
5ed89ba6-74f5-11ed-8600-0242ac1c000c,4a0f3636-74f4-11ed-be5f-0242ac1c000c,30f7e396-74f4-11ed-9ec6-0242ac1c000c,19046d26-74f5-11ed-b0b8-0242ac1c000c,359d2a52-74f7-11ed-a487-0242ac1c000c,8c052246-74f7-11ed-884d-0242ac1c000c,5d69f57e-74f7-11ed-8d69-0242ac1c000c
5ed89c50-74f5-11ed-8600-0242ac1c000c,4a0f36cc-74f4-11ed-be5f-0242ac1c000c,30f7e4e0-74f4-11ed-9ec6-0242ac1c000c,19046e20-74f5-11ed-b0b8-0242ac1c000c,359d2ae8-74f7-11ed-a487-0242ac1c000c,8c0522aa-74f7-11ed-884d-0242ac1c000c,5d69f60a-74f7-11ed-8d69-0242ac1c000c
5ed89d18-74f5-11ed-8600-0242ac1c000c,4a0f3a64-74f4-11ed-be5f-0242ac1c000c,30f7e580-74f4-11ed-9ec6-0242ac1c000c,19046f7e-74f5-11ed-b0b8-0242ac1c000c,359d2b74-74f7-11ed-a487-0242ac1c000c,8c05230e-74f7-11ed-884d-0242ac1c000c,5d69f68c-74f7-11ed-8d69-0242ac1c000c
5ed89dd6-74f5-11ed-8600-0242ac1c000c,4a0f3bf4-74f4-11ed-be5f-0242ac1c000c,30f7e63e-74f4-11ed-9ec6-0242ac1c000c,190470aa-74f5-11ed-b0b8-0242ac1c000c,359d2c0a-74f7-11ed-a487-0242ac1c000c,8c052372-74f7-11ed-884d-0242ac1c000c,5d69f718-74f7-11ed-8d69-0242ac1c000c
5ed89e80-74f5-11ed-8600-0242ac1c000c,4a0f3cc6-74f4-11ed-be5f-0242ac1c000c,30f7e774-74f4-11ed-9ec6-0242ac1c000c,190471a4-74f5-11ed-b0b8-0242ac1c000c,359d2d7c-74f7-11ed-a487-0242ac1c000c,8c0523d6-74f7-11ed-884d-0242ac1c000c,5d69f7a4-74f7-11ed-8d69-0242ac1c000c
5ed89f3e-74f5-11ed-8600-0242ac1c000c,4a0f3d66-74f4-11ed-be5f-0242ac1c000c,30f7e828-74f4-11ed-9ec6-0242ac1c000c,19047294-74f5-11ed-b0b8-0242ac1c000c,359d2e1c-74f7-11ed-a487-0242ac1c000c,8c052430-74f7-11ed-884d-0242ac1c000c,5d69f826-74f7-11ed-8d69-0242ac1c000c
5ed8a006-74f5-11ed-8600-0242ac1c000c,4a0f3dfc-74f4-11ed-be5f-0242ac1c000c,30f7e8e6-74f4-11ed-9ec6-0242ac1c000c,1904738e-74f5-11ed-b0b8-0242ac1c000c,359d2eb2-74f7-11ed-a487-0242ac1c000c,8c052494-74f7-11ed-884d-0242ac1c000c,5d69f8a8-74f7-11ed-8d69-0242ac1c000c
5ed8a0c4-74f5-11ed-8600-0242ac1c000c,4a0f3e88-74f4-11ed-be5f-0242ac1c000c,30f7e99a-74f4-11ed-9ec6-0242ac1c000c,19047474-74f5-11ed-b0b8-0242ac1c000c,359d2f98-74f7-11ed-a487-0242ac1c000c,8c0524f8-74f7-11ed-884d-0242ac1c000c,5d69f92a-74f7-11ed-8d69-0242ac1c000c
5ed8a178-74f5-11ed-8600-0242ac1c000c,4a0f3f1e-74f4-11ed-be5f-0242ac1c000c,30f7ead0-74f4-11ed-9ec6-0242ac1c000c,19047564-74f5-11ed-b0b8-0242ac1c000c,359d3024-74f7-11ed-a487-0242ac1c000c,8c05255c-74f7-11ed-884d-0242ac1c000c,5d69f9ac-74f7-11ed-8d69-0242ac1c000c
5ed8a236-74f5-11ed-8600-0242ac1c000c,4a0f3faa-74f4-11ed-be5f-0242ac1c000c,30f7eb84-74f4-11ed-9ec6-0242ac1c000c,1904765e-74f5-11ed-b0b8-0242ac1c000c,359d30ba-74f7-11ed-a487-0242ac1c000c,8c0525c0-74f7-11ed-884d-0242ac1c000c,5d69fa42-74f7-11ed-8d69-0242ac1c000c
5ed8a2ea-74f5-11ed-8600-0242ac1c000c,4a0f4036-74f4-11ed-be5f-0242ac1c000c,30f7ec24-74f4-11ed-9ec6-0242ac1c000c,1904774e-74f5-11ed-b0b8-0242ac1c000c,359d313c-74f7-11ed-a487-0242ac1c000c,8c05261a-74f7-11ed-884d-0242ac1c000c,5d69face-74f7-11ed-8d69-0242ac1c000c
5ed8a3a8-74f5-11ed-8600-0242ac1c000c,4a0f40b8-74f4-11ed-be5f-0242ac1c000c,30f7ecc4-74f4-11ed-9ec6-0242ac1c000c,19047852-74f5-11ed-b0b8-0242ac1c000c,359d31c8-74f7-11ed-a487-0242ac1c000c,8c05267e-74f7-11ed-884d-0242ac1c000c,5d69fb5a-74f7-11ed-8d69-0242ac1c000c
5ed8a45c-74f5-11ed-8600-0242ac1c000c,4a0f413a-74f4-11ed-be5f-0242ac1c000c,30f7ede6-74f4-11ed-9ec6-0242ac1c000c,19047956-74f5-11ed-b0b8-0242ac1c000c,359d3254-74f7-11ed-a487-0242ac1c000c,8c0526e2-74f7-11ed-884d-0242ac1c000c,5d69fbe6-74f7-11ed-8d69-0242ac1c000c
5ed8a4f2-74f5-11ed-8600-0242ac1c000c,4a0f41c6-74f4-11ed-be5f-0242ac1c000c,30f7eeae-74f4-11ed-9ec6-0242ac1c000c,19047a64-74f5-11ed-b0b8-0242ac1c000c,359d32ea-74f7-11ed-a487-0242ac1c000c,8c05278c-74f7-11ed-884d-0242ac1c000c,5d69fc72-74f7-11ed-8d69-0242ac1c000c
5ed8a592-74f5-11ed-8600-0242ac1c000c,4a0f4252-74f4-11ed-be5f-0242ac1c000c,30f7ef62-74f4-11ed-9ec6-0242ac1c000c,19047b54-74f5-11ed-b0b8-0242ac1c000c,359d3380-74f7-11ed-a487-0242ac1c000c,8c0527f0-74f7-11ed-884d-0242ac1c000c,5d69fcfe-74f7-11ed-8d69-0242ac1c000c
